RNF39 AP1B1
MT-CYB MT-CO2
MT-CYB COX5B
MT-CYB NDUFB9
MT-CYB NDUFS4
MT-CYB COX5A
MT-CYB CYC1
MT-CYB COX6B1
MT-CYB NDUFA2
MT-CYB NDUFB5
MT-CYB NDUFA12
MT-CYB NDUFB10
MT-CYB NDUFA5
MT-CYB NDUFS3
MT-CYB NDUFA8
MT-CYB NDUFB7
MT-CYB NDUFS2
MT-CYB NDUFV2
MT-CYB NDUFA9
MT-CYB NDUFB8
MT-CYB NDUFS8
MT-CYB NDUFA4
MT-CYB NDUFV1
MT-CYB COX6C
MT-CYB NDUFS7
MT-CYB NDUFC2
MT-CYB MT-ND1
MT-CYB NDUFB6
MT-CYB NDUFB1
MT-CYB NDUFA7
MT-CYB NDUFB3
MT-CYB NDUFB4
MT-CYB MT-ND5
MT-CYB NDUFA11
MT-CYB COX7A2
MT-CYB MT-ND4
MT-CYB COX7C
MT-CYB COX8A
MT-CYB NDUFAB1
MT-CYB NDUFA10
MT-CYB COX7A2L
MT-CYB MT-CO1
MT-CYB MT-CO3
MT-CYB NDUFC1
MT-CYB COX7A1
MT-CYB NDUFB2
MT-CYB NDUFA1
MT-CYB COX7B
MT-CYB COX6A1
NSUN2 UBE3A
NSUN2 MYC
NSUN2 FBL
MTPN RELA
MTPN NFKB1
MTPN REL
CRNKL1 MYC
CRNKL1 CDC5L
CRNKL1 HNRNPU
CRNKL1 DDX5
CRNKL1 DDX17
CRNKL1 HNRNPK
CRNKL1 WBP11
CRNKL1 DHX9
CRNKL1 SRSF1
CRNKL1 HNRNPA2B1
CRNKL1 SNW1
CRNKL1 HNRNPM
CRNKL1 YWHAB
CRNKL1 TRA2B
CRNKL1 SPEN
CRNKL1 HNRNPH1
CRNKL1 RBM25
CRNKL1 RBM39
CRNKL1 SYNCRIP
CRNKL1 BCAS2
CRNKL1 ALYREF
CRNKL1 SRSF7
CRNKL1 SRSF11
CRNKL1 PRPF40A
CRNKL1 SNRPD3
CRNKL1 SNRPD1
CRNKL1 EIF4A3
CRNKL1 PNN
CRNKL1 SRRM1
CRNKL1 HNRNPR
CRNKL1 MFAP1
CRNKL1 SNRPB
CRNKL1 SF1
CRNKL1 PPM1G
CRNKL1 SRSF9
CRNKL1 BUD31
CRNKL1 DHX8
CRNKL1 CCDC12
CRNKL1 TSSC4
CRNKL1 SRSF2
CRNKL1 RBM8A
CRNKL1 RBMX
CRNKL1 CDK12
CRNKL1 FRG1
CRNKL1 CPSF6
CRNKL1 DNAJC8
CRNKL1 ACIN1
CRNKL1 SNRPF
CRNKL1 SF3B6
CRNKL1 PLRG1
CRNKL1 SNU13
CRNKL1 MOV10
CRNKL1 LUC7L3
CRNKL1 PRPF4
CRNKL1 LSM3
CRNKL1 SNRPG
CRNKL1 DHX15
CRNKL1 SLU7
CRNKL1 DDX46
CRNKL1 SRRT
CRNKL1 TRIR
CRNKL1 IK
CRNKL1 SNRPA
CRNKL1 SNRPA1
CRNKL1 PRPF18
CRNKL1 RALY
CRNKL1 SF3B4
CRNKL1 SMNDC1
CRNKL1 THOC3
CRNKL1 PUF60
CRNKL1 ZCCHC8
CRNKL1 RNPS1
CRNKL1 CWC22
CRNKL1 NCBP2
CRNKL1 SNRPE
CRNKL1 PRPF4B
CRNKL1 SRSF4
CRNKL1 THOC7
CRNKL1 RBM15
CRNKL1 HTATSF1
PPP2R2D PPP2CA
PPP2R2D PPME1
PPP2R2D PTTG1
PPP2R2D WDR61
PPP2R2D ENSA
PPP2R2D TCP1
PPP2R2D PPP2CB
PPP2R2D CCT5
PPP2R2D CCT3
PPP2R2D CCT6A
PPP2R2D CCT4
PPP2R2D CCT8
PPP2R2D RBM7
PPP2R2D PPP2R2A
PPP2R2D PPP2R1B
PPP2R2D ZCCHC8
PPP2R2D SERTAD4
PPP2R2D FOXC1
PPP2R2D IER5
KCMF1 VCP
KCMF1 UBE2A
WASL EGFR
WASL TRIP10
WASL PTK2
WASL CTTN
WASL CRK
WASL CDC42
WASL SDCBP
WASL NCK1
WASL PACSIN3
WASL ACTG1
WASL ABI2
WASL BAIAP2
WASL WIPF2
WASL WASF2
WASL FNBP1L
WASL DNMBP
WASL HSP90AB1
WASL ITGA2
WASL PRPF40A
WASL PTK6
WASL HSP90AA1
WASL CD44
WASL CIB1
WASL SH3RF1
WASL OSTF1
DNAJC8 CTNNB1
DNAJC8 CDC5L
DNAJC8 HSPD1
DNAJC8 DDX5
DNAJC8 DDX17
DNAJC8 WBP11
DNAJC8 DHX9
DNAJC8 SRSF1
DNAJC8 SNW1
DNAJC8 TRA2B
DNAJC8 SPEN
DNAJC8 NRG1
DNAJC8 RBM25
DNAJC8 RBM39
DNAJC8 BCAS2
DNAJC8 ALYREF
DNAJC8 SRSF7
DNAJC8 SRSF11
DNAJC8 PRPF40A
DNAJC8 SNRPD3
DNAJC8 SNRPD1
DNAJC8 EIF4A3
DNAJC8 SRRM1
DNAJC8 MFAP1
DNAJC8 SNRPB
DNAJC8 SF1
DNAJC8 PPM1G
DNAJC8 SRSF9
DNAJC8 BUD31
DNAJC8 SNRPF
DNAJC8 DHX8
DNAJC8 MOV10
DNAJC8 CPSF6
DNAJC8 DHX15
DNAJC8 SNRPA1
DNAJC8 PLRG1
DNAJC8 PHF5A
DNAJC8 THOC3
DNAJC8 THOC7
DNAJC8 IK
DNAJC8 SNRPA
DNAJC8 TRIR
DNAJC8 RNPS1
DNAJC8 SNRPE
DNAJC8 RBM8A
DNAJC8 PRPF4
DNAJC8 SNU13
DNAJC8 SRSF2
DNAJC8 NCBP2
DNAJC8 SNRPG
DNAJC8 SF3B4
DNAJC8 SF3B6
DNAJC8 PUF60
DNAJC8 SLU7
DNAJC8 ACIN1
DNAJC8 RBM15
DNAJC8 SRSF4
DNAJC8 PRPF4B
DNAJC8 SRRT
DNAJC8 CHERP
DNAJC8 LUC7L3
DNAJC8 DDX46
DNAJC8 SMNDC1
DNAJC8 CDK12
DNAJC8 CWC22
DNAJC8 HTATSF1
DNAJC8 PRPF18
ITGB4 ATXN1
ITGB4 ERBB2
ITGB4 PTK2
ITGB4 SHC1
ITGB4 YWHAQ
ITGB4 ERBIN
ITGB4 YWHAB
ITGB4 YES1
ITGB4 MDFI
ITGB4 EIF6
ITGB4 NOTCH2NLA
ITGB4 PLEC
ITGB4 SDC1
ITGB4 TRIP6
ITGB4 DST
ITGB4 CLCA2
ITGB4 LAMB1
ITGB4 LAMB2
ITGB4 CD151
ITGB4 CD9
ITGB4 KRTAP3-1
ITGB4 TGM1
C16orf72 HUWE1
PDCD7 SRSF7
PDCD7 PRPF40A
PDCD7 SNRPD3
PDCD7 SNRPD1
PDCD7 SNRPB
PDCD7 SNRPF
PDCD7 DHX15
PDCD7 SNRPE
PDCD7 SNRPG
PDCD7 SF3B4
PDCD7 SF3B6
PDCD7 SMNDC1
PDCD7 ZCRB1
ACOT7 ATXN1
ACOT7 CRYAB
PCBD1 NFKB1
PCBD1 HSPA8
PCBD1 APP
PCBD1 NCL
PCBD1 BRD7
PCBD1 KIF5B
PCBD1 UBA2
PCBD1 SDCBP
PCBD1 FXR2
PCBD1 ATG14
PCBD1 LNX1
PCBD1 CEBPZ
PCBD1 RPS24
PCBD1 TUBB4B
PCBD1 PCBD1
PCBD1 ACIN1
PCBD1 FAM135A
PCBD1 MAP7
PCBD1 PGAM5
PCBD1 SOWAHC
PCBD1 PRRC2C
PCBD1 HES4
PCBD1 CHMP2A
MACO1 PTPRU
MACO1 NOTCH2NLA
MACO1 ZNF655
POLR3D HSPA8
POLR3D APEX1
POLR3D SMAD2
POLR3D POLR2H
POLR3D HNRNPAB
POLR3D RBFOX2
POLR3D POLR1C
POLR3D POLR3E
POLR3D POLR1D
FOXC1 CDK2
FOXC1 PPP2CB
FOXC1 PPP2R2A
SLC39A9 TMEM237
SLC39A9 VMP1
SLC39A9 CRB3
SLC39A9 CYB5B
SLC39A9 MANBAL
SLC39A9 SLC16A2
SLC39A9 MFSD14B
SLC39A9 CERS3
SLC39A9 SERINC2
GTF3C1 MAPK10
GTF3C1 MYC
GTF3C1 EZH2
GTF3C1 NFKB2
GTF3C1 HNRNPU
GTF3C1 SUB1
GTF3C1 ILF2
GTF3C1 FBL
GTF3C1 NCL
GTF3C1 FGFR3
GTF3C1 DHX9
GTF3C1 EBNA1BP2
GTF3C1 TOP1
GTF3C1 HSP90AB1
GTF3C1 PHB
GTF3C1 ILF3
GTF3C1 IGFBP3
GTF3C1 RPL24
GTF3C1 RPLP0
GTF3C1 SYNCRIP
GTF3C1 UPF1
GTF3C1 HNRNPL
GTF3C1 FXR2
GTF3C1 EIF4A3
GTF3C1 DIMT1
GTF3C1 MOV10
GTF3C1 TCP1
GTF3C1 GTF3C5
GTF3C1 POLR1C
GTF3C1 SLC25A3
GTF3C1 SNU13
GTF3C1 GTPBP4
GTF3C1 RPL23
GTF3C1 KLF6
GTF3C1 PAK1IP1
GTF3C1 CSNK1E
GTF3C1 PRPF38A
GTF3C1 RSL1D1
GTF3C1 TEX10
COPE ARF1
COPE COPB1
COPE BAG3
COPE KIF5B
COPE COPB2
COPE ARCN1
COPE CASP4
TVP23B YIPF6
TVP23B TIMMDC1
TVP23B TMEM14B
TVP23B TMX2
TVP23B REEP4
PML TDG
PML DAXX
PML MDM2
PML CCNT1
PML SRF
PML CREBBP
PML SUMO1
PML SKI
PML HDAC2
PML PML
PML RXRA
PML RELA
PML NR4A1
PML SP1
PML RUNX1
PML UBE3A
PML TGIF1
PML SUMO2
PML PSME3
PML CSNK2A1
PML CTNNB1
PML FBXO3
PML RBX1
PML ZMYM2
PML SYNE2
PML MYC
PML PKM
PML SIRT1
PML TP63
PML EZH2
PML RNF111
PML PSMA3
PML ATXN1
PML EGFR
PML PYCARD
PML MAP1LC3B
PML CDKN2A
PML EIF3K
PML TET2
PML EP300
PML TGFBR1
PML SMAD3
PML ELF4
PML SMAD2
PML UBC
PML SENP2
PML MXD1
PML SUMO3
DAPL1 FHL2
WNT4 LGALS3BP
ZNF462 SUMO1
ZNF462 CBX3
ZNF462 ZNF644
ZNF462 D2HGDH
EIF4A3 CDC5L
EIF4A3 YWHAG
EIF4A3 LRRC59
EIF4A3 HNRNPU
EIF4A3 DDX5
EIF4A3 REL
EIF4A3 DDX17
EIF4A3 CDK2
EIF4A3 ILF2
EIF4A3 YWHAZ
EIF4A3 YWHAQ
EIF4A3 NCL
EIF4A3 HNRNPK
EIF4A3 WBP11
EIF4A3 DHX9
EIF4A3 SRSF1
EIF4A3 HNRNPA2B1
EIF4A3 EIF4G1
EIF4A3 EBNA1BP2
EIF4A3 SNW1
EIF4A3 PDCD4
EIF4A3 HSP90AB1
EIF4A3 HNRNPM
EIF4A3 PA2G4
EIF4A3 PHB
EIF4A3 STAU1
EIF4A3 ILF3
EIF4A3 TRA2B
EIF4A3 SPEN
EIF4A3 ATP5F1C
EIF4A3 HNRNPH1
EIF4A3 RBM25
EIF4A3 RPL24
EIF4A3 RBM39
EIF4A3 RPLP0
EIF4A3 SYNCRIP
EIF4A3 BCAS2
EIF4A3 ALYREF
EIF4A3 SRSF7
EIF4A3 SRSF11
EIF4A3 UPF1
EIF4A3 PRPF40A
EIF4A3 SRSF3
EIF4A3 HNRNPL
EIF4A3 FXR2
EIF4A3 SNRPD3
EIF4A3 SNRPD1
EIF4A3 RBM8A
EIF4A3 PNN
EIF4A3 RBMX
EIF4A3 RNPS1
EIF4A3 SRRM1
EIF4A3 RPS24
EIF4A3 CWC22
EIF4A3 SMG1
EIF4A3 SRSF2
EIF4A3 CDK12
EIF4A3 PHF5A
EIF4A3 FRG1
EIF4A3 CPSF6
EIF4A3 SF1
EIF4A3 MRPS15
EIF4A3 POLR1C
EIF4A3 ACIN1
EIF4A3 SLC25A3
EIF4A3 PPM1G
EIF4A3 SNRPF
EIF4A3 SF3B6
EIF4A3 PLRG1
EIF4A3 SNU13
EIF4A3 MFAP1
EIF4A3 MOV10
EIF4A3 LUC7L3
EIF4A3 SNRPB
EIF4A3 PRPF4
EIF4A3 LSM3
EIF4A3 SNRPG
EIF4A3 RPL23
EIF4A3 DIMT1
EIF4A3 DHX15
EIF4A3 BUD31
EIF4A3 SLU7
EIF4A3 NXF1
EIF4A3 PRPF4B
EIF4A3 SNRPE
EIF4A3 TEX10
EIF4A3 METAP2
EIF4A3 SNRPA1
EIF4A3 GTPBP4
EIF4A3 NCBP2
EIF4A3 PRPF18
EIF4A3 THOC7
EIF4A3 THOC3
EIF4A3 HNRNPH2
EIF4A3 RALY
EIF4A3 SRRT
EIF4A3 TRIR
EIF4A3 SRSF4
EIF4A3 DDX46
EIF4A3 TCP1
EIF4A3 KRR1
EIF4A3 LYAR
EIF4A3 DENR
EIF4A3 RBM15
EIF4A3 DHX8
EIF4A3 PUF60
EIF4A3 RSL1D1
EIF4A3 IK
EIF4A3 ZCCHC8
EIF4A3 SRSF9
EIF4A3 PAK1IP1
EIF4A3 HTATSF1
EIF4A3 SNRPA
EIF4A3 SF3B4
EIF4A3 HNRNPR
EIF4A3 SMNDC1
EIF4A3 LNX1
EIF4A3 CNKSR3
EIF4A3 ZXDB
UQCRQ NDUFA13
UQCRQ DNAJA1
UQCRQ PHB
UQCRQ ATP5F1C
UQCRQ MT-CO2
UQCRQ COX5B
UQCRQ UQCRC2
UQCRQ NDUFB9
UQCRQ NDUFS4
UQCRQ COX5A
UQCRQ CYC1
UQCRQ COX6B1
UQCRQ NDUFA2
UQCRQ NDUFB5
UQCRQ NDUFA12
UQCRQ NDUFB10
UQCRQ NDUFA5
UQCRQ NDUFS3
UQCRQ NDUFA8
UQCRQ NDUFB7
UQCRQ VDAC2
UQCRQ NDUFS2
UQCRQ UQCRC1
UQCRQ NDUFV2
UQCRQ TOMM22
UQCRQ NDUFA4
UQCRQ NDUFS8
UQCRQ COX7A2L
UQCRQ NDUFA1
UQCRQ NDUFB4
UQCRQ NDUFC1
UQCRQ NDUFA10
UQCRQ COX7A2
UQCRQ NDUFA11
UQCRQ MT-ND4
UQCRQ NDUFAB1
UQCRQ NDUFB2
UQCRQ NDUFB6
UQCRQ NDUFB3
UQCRQ COX6A1
UQCRQ COX7A1
UQCRQ NDUFC2
UQCRQ NDUFV1
UQCRQ NDUFB1
UQCRQ COX8A
UQCRQ NDUFA7
UQCRQ MT-ND1
UQCRQ COX7C
UQCRQ NDUFS7
UQCRQ COX7B
UQCRQ NDUFA9
UQCRQ COX6C
UQCRQ MT-CO3
UQCRQ MT-ND5
UQCRQ NDUFB8
UQCRQ MT-CO1
RBBP7 CREBBP
RBBP7 HDAC2
RBBP7 SP1
RBBP7 SUMO2
RBBP7 ZMYM2
RBBP7 EZH2
RBBP7 SMARCA4
RBBP7 KDM1A
RBBP7 HSPA8
RBBP7 HSPA4
RBBP7 DDB1
RBBP7 HSPA5
RBBP7 CHD4
RBBP7 CHD3
RBBP7 MBD2
RBBP7 CUL4A
RBBP7 AEBP2
RBBP7 PHF1
RBBP7 MORF4L1
RBBP7 MTA2
RBBP7 BAP1
RBBP7 BANF1
RBBP7 GATAD2A
RBBP7 SMARCA1
RBBP7 MORF4L2
RBBP7 SIRT7
RBBP7 HUWE1
RBBP7 SINHCAF
RBBP7 ARID4B
RBBP7 SMARCA5
RBBP7 HSP90AB1
RBBP7 RCOR1
RBBP7 SMARCC1
RBBP7 HSP90AA1
RBBP7 ACTL6A
RBBP7 TAF9
RBBP7 SUDS3
RBBP7 BAZ1A
RBBP7 GTF2I
RBBP7 SMARCC2
RBBP7 RAN
RBBP7 EIF3A
UGP2 GLRX3
UGP2 PCBP1
UGP2 PUF60
UGP2 UGP2
POLR2J POLR2A
POLR2J POLR2H
POLR2J MED21
POLR2J AATF
POLR2J VPS37C
POLR2J TRAF4
POLR2J GTF2B
POLR2J GTF2H1
POLR2J MED10
POLR2J SDCBP
POLR2J MED26
POLR2J GTF2F2
POLR2J POLR2L
POLR2J POLR1C
POLR2J GTF2F1
POLR2J GTF2E2
POLR2J POLR2K
POLR2J MED19
POLR2J POLR2I
CALML5 YWHAQ
CALML5 USP1
SERTAD2 CREBBP
SERTAD2 TRIM28
SERTAD2 TFDP1
SERTAD2 CKS1B
SERTAD2 C1orf109
SERTAD2 ATG12
CLTC RELA
CLTC EP300
CLTC PTK2
CLTC NFKB1
CLTC NFKB2
CLTC HSPA8
CLTC SHC1
CLTC YWHAG
CLTC VCP
CLTC TFAP2A
CLTC REL
CLTC MAX
CLTC CDK2
CLTC CLINT1
CLTC AP1G1
CLTC TOM1L1
CLTC MYO6
CLTC STAU1
CLTC ADRB2
CLTC PHB
CLTC CLTB
CLTC CYLD
CLTC LARP7
CLTC TFE3
CLTC MCC
CLTC YWHAZ
CLTC TNFRSF1A
CLTC NFKBIB
CLTC PXN
CLTC MAPK13
CLTC GAK
CLTC SNX9
CLTC SCYL2
CLTC AP1B1
CLTC CLTC
CLTC NDRG1
TARDBP CSNK2A1
TARDBP DDX1
TARDBP CDC5L
TARDBP TRIM28
TARDBP UBC
TARDBP ARF6
TARDBP HSPA8
TARDBP VCP
TARDBP HSPA4
TARDBP HNRNPU
TARDBP DDX5
TARDBP DDX17
TARDBP EWSR1
TARDBP ILF2
TARDBP HNRNPA2B1
TARDBP HNRNPM
TARDBP CSNK1A1
TARDBP STAU1
TARDBP ILF3
TARDBP TOB1
TARDBP SQSTM1
TARDBP G3BP1
TARDBP HNRNPH1
TARDBP MED10
TARDBP SYNCRIP
TARDBP PCBP1
TARDBP HNRNPR
TARDBP IRAK2
TARDBP TARDBP
TARDBP DHX15
TARDBP RALY
TARDBP SRPK1
TARDBP MED19
TARDBP NSFL1C
SLTM MCC
DENND2C YES1
HERC6 UBE2L3
HERC6 HERC4
BCL2L2 MUC1
BCL2L2 BID
BCL2L2 SGPL1
BCL2L2 BIK
BCL2L2 PMAIP1
BCL2L2 BCL2L11
BCL2L2 BAK1
BCL2L2 SAR1A
BCL2L2 MGST2
BCL2L2 SLC39A6
BCL2L2 ATP5PF
BCL2L2 PSCA
BCL2L2 CLDN7
RANBP1 KPNB1
RANBP1 RANGAP1
RANBP1 RAN
RANBP1 EIF1B
RANBP1 MCC
WEE1 CSNK2A1
WEE1 YWHAG
WEE1 SMAD3
WEE1 CSNK2B
WEE1 CDK2
WEE1 YWHAZ
WEE1 CRK
WEE1 ERRFI1
WEE1 BTRC
WEE1 SMURF1
WEE1 SFN
WEE1 CASP3
WEE1 YWHAB
UQCR11 NDUFA13
UQCR11 MT-CO2
UQCR11 COX5B
UQCR11 NDUFB9
UQCR11 NDUFS4
UQCR11 COX5A
UQCR11 CYC1
UQCR11 COX6B1
UQCR11 NDUFA2
UQCR11 NDUFB5
UQCR11 NDUFA12
UQCR11 NDUFB10
UQCR11 NDUFA5
UQCR11 NDUFS3
UQCR11 NDUFA8
UQCR11 NDUFB7
UQCR11 NDUFS2
UQCR11 NDUFV2
UQCR11 NDUFA9
UQCR11 NDUFB8
UQCR11 NDUFS8
UQCR11 NDUFA4
UQCR11 NDUFV1
UQCR11 COX6C
UQCR11 NDUFS7
UQCR11 NDUFC2
UQCR11 MT-ND1
UQCR11 NDUFB6
UQCR11 NDUFB1
UQCR11 NDUFA7
UQCR11 NDUFB3
UQCR11 NDUFB4
UQCR11 MT-ND5
UQCR11 NDUFA11
UQCR11 COX7A2
UQCR11 MT-ND4
UQCR11 COX7C
UQCR11 COX8A
UQCR11 NDUFAB1
UQCR11 NDUFA10
UQCR11 COX7A2L
UQCR11 MT-CO1
UQCR11 MT-CO3
UQCR11 NDUFA1
UQCR11 NDUFC1
UQCR11 COX6A1
UQCR11 NDUFB2
UQCR11 COX7B
UQCR11 COX7A1
DYNC1H1 MYC
DYNC1H1 SIRT1
DYNC1H1 EGFR
DYNC1H1 CDC5L
DYNC1H1 NFKB2
DYNC1H1 ARF6
DYNC1H1 HSPA8
DYNC1H1 YWHAG
DYNC1H1 TSC22D1
DYNC1H1 SMAD2
DYNC1H1 MAX
DYNC1H1 ILF2
DYNC1H1 YWHAZ
DYNC1H1 SRSF1
DYNC1H1 DYNC1I2
DYNC1H1 DYNLT3
DYNC1H1 NDEL1
DYNC1H1 DYNLRB1
DYNC1H1 PAFAH1B1
DYNC1H1 BICD2
DYNC1H1 DYNLT1
DYNC1H1 DYNC1LI2
DYNC1H1 CYLD
DYNC1H1 LARP7
DYNC1H1 HOOK3
DYNC1H1 CDC42
DYNC1H1 SRSF2
DYNC1H1 RBMX
DYNC1H1 SNRPD1
DYNC1H1 SNRPD3
DYNC1H1 PLRG1
DYNC1H1 SNRPB
DYNC1H1 SFPQ
DYNC1H1 SNRPA
DYNC1H1 SNRPA1
DYNC1H1 TENT5A
DYNC1H1 SF3B4
DYNC1H1 DYNLL1
DYNC1H1 PHLDA3
DYNC1H1 BCAS2
DYNC1H1 BZW1
DYNC1H1 SRRM1
DYNC1H1 GABARAPL2
DYNC1H1 COX20
C2orf49 CDK2
CTNNA1 CSNK2A1
CTNNA1 CTNNB1
CTNNA1 MYC
CTNNA1 EGFR
CTNNA1 MAPRE1
CTNNA1 PSEN1
CTNNA1 CDH1
CTNNA1 BTRC
CTNNA1 CDH3
CTNNA1 SOS1
CTNNA1 AFDN
CTNNA1 DLG1
CTNNA1 PARD3
CTNNA1 SDCBP
CTNNA1 SPTBN1
CTNNA1 VEZT
CTNNA1 TSPYL1
CTNNA1 SPTAN1
CTNNA1 PTPN14
CTNNA1 TJP1
CTNNA1 CTNNA1
ITGA3 PDIA3
ITGA3 ITGB1
ITGA3 CALR
ITGA3 FHL2
ITGA3 LGALS8
ITGA3 TGM2
ITGA3 BSG
ITGA3 ADAM9
ITGA3 CD9
ITGA3 CD82
ITGA3 HPS5
ITGA3 CD63
ITGA3 ITGA3
ITGA3 CD151
ITGA3 RABIF
MAPK8 MAP2K4
MAPK8 APP
MAPK8 CTNNB1
MAPK8 CDKN1A
MAPK8 EGFR
MAPK8 IRS1
MAPK8 DUSP10
MAPK8 CRK
MAPK8 REL
MAPK8 DUSP4
MAPK8 DUSP1
MAPK8 GSTP1
MAPK8 MYC
MAPK8 NR4A1
MAPK8 SIRT1
MAPK8 MAP3K4
MAPK8 SP1
MAPK8 MAPK8
MAPK8 CDKN2A
MAPK8 RPS6KB1
MAPK8 PXN
MAPK8 CDC42
MAPK8 RXRA
MAPK8 ELK3
MAPK8 SFN
MAPK8 HSPA8
MAPK8 YWHAZ
MAPK8 SHC1
MAPK8 TNFRSF1A
MAPK8 SMAD2
MAPK8 HNRNPK
MAPK8 COPS2
MAPK8 BID
MAPK8 CEBPB
MAPK8 MAP3K6
MAPK8 SPAG9
MAPK8 MAPK6
MAPK8 TNFRSF10B
MAPK8 CASP10
MAPK8 AIMP1
MAPK8 SH2D3A
MAPK8 BCAR1
MAPK8 APLP2
MAPK8 SCAND1
MAPK8 YWHAB
MAPK8 ATN1
MAPK8 SMAD3
MAPK8 JDP2
MAPK8 MCL1
MAPK8 KRT8
MAPK8 SNCG
MAPK8 BCL2L11
SEC16A FBXW7
SEC16A RELA
SEC16A NFKB2
SEC16A GSK3B
SEC16A REL
SEC16A GOLGA2
SEC16A MYO6
SEC16A USP9X
SEC16A CSNK1A1
SEC16A KRT18
SEC16A BET1
SEC16A HNRNPH3
SEC16A SEC24A
SEC16A RC3H1
DCP1A YWHAG
DCP1A FHL2
DCP1A YWHAZ
DCP1A UPF1
DCP1A PNRC2
DCP1A DDX6
DCP1A AGO2
DCP1A DCP1A
CMAS NME3
CMAS NME1
CMAS CMPK1
CMAS DUT
KRR1 LRRC59
KRR1 HNRNPU
KRR1 EWSR1
KRR1 ILF2
KRR1 TNFRSF1A
KRR1 DHX9
KRR1 PHB
KRR1 LARP7
KRR1 ATP5F1C
KRR1 RPL24
KRR1 SYNCRIP
KRR1 HNRNPH2
KRR1 DHX15
KRR1 NIFK
KRR1 PHF5A
KRR1 RPL23
KRR1 SF3B6
KRR1 LYAR
KRR1 MRPS15
KRR1 SLC25A3
FLCN PRKAA2
FLCN HSP90AA1
FLCN RAB7A
FLCN ULK1
FLCN AHSA1
FLCN HSPA1B
FLCN RAB9A
SRPRA SRPRB
SMARCC1 CREBBP
SMARCC1 HDAC2
SMARCC1 NR4A1
SMARCC1 SP1
SMARCC1 RUNX1
SMARCC1 MYC
SMARCC1 EZH2
SMARCC1 EP300
SMARCC1 SMARCA4
SMARCC1 KDM1A
SMARCC1 TRIM28
SMARCC1 ARF6
SMARCC1 SMAD3
SMARCC1 GSTO2
SMARCC1 SMAD2
SMARCC1 SS18
SMARCC1 CEBPB
SMARCC1 POLR2A
SMARCC1 EWSR1
SMARCC1 CHD4
SMARCC1 CHD3
SMARCC1 MED21
SMARCC1 SMARCC2
SMARCC1 PHF10
SMARCC1 SMARCE1
SMARCC1 BRD7
SMARCC1 ACTL6A
SMARCC1 SMARCD2
SMARCC1 BCL7A
SMARCC1 ARID4B
SMARCC1 GTF2B
SMARCC1 SMARCA5
SMARCC1 DRAP1
SMARCC1 PLSCR1
SMARCC1 CCNE1
SMARCC1 MBD2
SMARCC1 TRIM33
SMARCC1 RAN
SMARCC1 MTA2
SMARCC1 GTF2F1
SMARCC1 GTF2H1
SMARCC1 CCNC
SMARCC1 TAF9
SMARCC1 KRTAP3-2
SMARCC1 GLRX3
SMARCC1 KRTAP3-1
SMARCC1 SLC15A2
ITM2B APP
ITM2B CREB3
ITM2B BCL2L13
TNNI2 CALM1
TNNI2 PSMC5
TNNI2 C1orf109
TNNI2 ESRRA
EVA1A SUMO2
EVA1A SAT1
EVA1A PTN
CES1 CREB3
CES1 PDZK1IP1
CES1 SAR1A
CES1 CES1
INAVA CYTH2
INAVA BTRC
INAVA SFN
AGO2 TP63
AGO2 EZH2
AGO2 UBC
AGO2 HSPD1
AGO2 DHX9
AGO2 MTA2
AGO2 HSP90AA1
AGO2 HSP90AB1
AGO2 G3BP1
AGO2 HSPA9
AGO2 PRKRA
AGO2 UPF1
AGO2 CNOT1
AGO2 SLC25A3
AGO2 NDUFA4
AGO2 RPL23
AGO2 LRRC4
AGO2 SSR4
AGO2 MYCBP
AGO2 C1QBP
AGO2 TMEM33
ARF1 MYC
ARF1 PLD2
ARF1 COPB1
ARF1 PLD1
ARF1 KRAS
ARF1 WBP11
ARF1 PLIN2
ARF1 ARHGAP21
ARF1 ARFIP2
ARF1 PIP5K1A
ARF1 ARF1
ARF1 ARFIP1
ARF1 RALA
ARF1 AP1B1
ARF1 TMED2
ARF1 KDELR1
ARF1 TMED10
ARF1 AP1G1
ARF1 INSR
ARF1 CYTH2
LAMB2 PLEKHA5
ESF1 NR4A1
ESF1 SMAD2
ESF1 GTF2F2
CBWD1 ZMYND19
CBWD1 SSR4
CBWD1 METAP1
RPLP1 MAP1LC3B
RPLP1 EIF3K
RPLP1 GAPDH
RPLP1 HSPA8
RPLP1 HSPD1
RPLP1 GSK3B
RPLP1 LRPPRC
RPLP1 HNRNPU
RPLP1 DDX5
RPLP1 ILF2
RPLP1 NOLC1
RPLP1 FBL
RPLP1 NCL
RPLP1 ANXA2
RPLP1 UBE2D3
RPLP1 DHX9
RPLP1 BRD7
RPLP1 HNRNPA2B1
RPLP1 ENO1
RPLP1 EIF3B
RPLP1 HNRNPD
RPLP1 HSP90AA1
RPLP1 EBNA1BP2
RPLP1 TOP1
RPLP1 TPT1
RPLP1 PDCD4
RPLP1 HSP90AB1
RPLP1 HNRNPM
RPLP1 PHB
RPLP1 ILF3
RPLP1 FXR1
RPLP1 LARP7
RPLP1 KPNB1
RPLP1 HNRNPH1
RPLP1 ATP5F1A
RPLP1 RPL24
RPLP1 RPL10A
RPLP1 RPLP0
RPLP1 RAN
RPLP1 DDX21
RPLP1 LRIF1
RPLP1 ANXA1
RPLP1 NOP58
RPLP1 PPP2CB
