ZHX1 DYNLL1
ZHX1 ZNF33B
ZHX1 HSPE1
ZHX1 TARDBP
ZHX1 WDR33
ZHX1 NACA
HRAS MAPK8
HRAS EGFR
HRAS SRC
HRAS ITGB1
HRAS NOTCH1
HRAS CDC42
HRAS AFDN
HRAS NECTIN1
HRAS DLG1
HRAS RGL2
HRAS GPSM2
HRAS SOS1
HRAS NF1
HRAS PIK3R1
HRAS LGALS1
HRAS SNRPE
HRAS SDC1
HRAS BAIAP2
HRAS MARK2
HRAS NECTIN2
HRAS F11R
HRAS LSR
HRAS STX3
HRAS KIAA1522
HRAS VAMP8
HRAS SLC3A2
HRAS SLC1A5
HRAS MARCKSL1
HRAS PKP4
HRAS MARCKS
HRAS ATP1A1
HRAS EPHA2
HRAS STXBP3
HRAS EFNB1
HRAS LAMTOR1
HRAS OCLN
HRAS CDC42EP4
HRAS DSC3
HRAS FLOT1
HRAS HRAS
HRAS VAMP2
HRAS IL1RL1
HRAS RABAC1
HRAS PRKCI
HRAS PLAU
HRAS INSR
HRAS FNTA
HRAS RHEB
HRAS RHOD
HRAS TTC1
HRAS TLR2
EBAG9 VAPB
EBAG9 BNIP3
EBAG9 STX3
EBAG9 PEX16
EBAG9 EBAG9
EBAG9 TPRG1
EBAG9 APOL2
EBAG9 TMEM107
CANX SUMO1
CANX CSNK2A1
CANX EGFR
CANX PDIA3
CANX PRKCD
CANX HSP90B1
CANX ITGB1
CANX CALR
CANX BCAP31
CANX COPB2
CANX EMC2
CANX UQCRC2
CANX PPP2R1A
CANX VDAC2
CANX VDAC1
CANX PHB
CANX NDRG1
CANX UBXN4
CANX LMAN1
CANX RPN2
CANX PGRMC1
CANX STAU1
CANX ERLIN2
CANX OGFOD3
CANX DDOST
CANX RPN1
CANX TECR
CANX CYC1
CANX MT-CO2
CANX GXYLT1
CANX CANX
CANX ATP6AP1
CANX TOR1AIP2
CANX ATP5PB
CANX HADHA
CANX PGRMC2
CANX ATP5F1C
CANX STT3A
CANX HADHB
CANX CHP1
CANX RRBP1
CANX HYOU1
CANX SRPRB
CANX GJB1
CANX PRKCI
CANX TNFRSF1A
CANX RPL7
CANX MAPK13
CANX SERPINA1
CANX IFNGR1
CANX PRDX4
CANX CAMLG
CANX TG
CANX CD82
CANX FAM107A
CANX SLC2A1
CANX CD9
CANX PRKCSH
CANX MBTPS1
TSG101 MDM2
TSG101 JUN
TSG101 EGFR
TSG101 AR
TSG101 NR3C1
TSG101 NDUFA13
TSG101 EP300
TSG101 CDKN1A
TSG101 UBC
TSG101 KRT15
TSG101 VPS28
TSG101 ARRDC1
TSG101 SNF8
TSG101 VPS36
TSG101 TSG101
TSG101 EIF4B
TSG101 TFG
TSG101 ALG2
TSG101 AKAP9
TSG101 LITAF
TSG101 XPO1
TSG101 TAX1BP1
TSG101 BCAR1
