INTS11 INTS3
INTS11 INTS8
INTS11 ZIC1
GFPT1 PRKCD
GFPT1 PRKCA
GFPT1 SOCS6
GFPT1 PRKCI
GFPT1 PRKCZ
GFPT1 PRKAB2
GFPT1 HK2
GFPT1 HKDC1
FBRS PCGF3
COG7 COG5
COG7 COG3
COG7 COG7
ZNF436 CCDC125
SLC7A5 SLC7A8
BAZ2B CTBP2
BAZ2B GOLGA2
BAZ2B TRAF2
BAZ2B NR2F6
TLK2 YWHAZ
TLK2 IRF7
TLK2 TLK2
PMM1 HK2
PMM1 GMPPA
PMM1 GMPPB
PMM1 HKDC1
LGALS3 MAP1LC3A
LGALS3 BARD1
LGALS3 GTF2I
LGALS3 LGALS3BP
LGALS3 SLC12A2
LGALS3 GOLGA2
LGALS3 LGALS3
LGALS3 CSNK1A1
LGALS3 INCA1
LGALS3 KIF16B
SHROOM3 SFN
HNF4A SMAD4
HNF4A CTNNB1
HNF4A SRC
HNF4A APOA1
HNF4A PROX1
HNF4A NCOA6
HNF4A HNF1A
HNF4A PPARA
HNF4A SREBF1
HNF4A RAD50
HNF4A NR0B2
HNF4A MED14
HNF4A PPARGC1A
HNF4A HNF4A
HNF4A NR1I2
HNF4A MED16
HNF4A SREBF2
HNF4A CEACAM1
HNF4A PABPC4
HNF4A GK
HNF4A APOC3
HNF4A AKR1C4
HNF4A CYP3A4
HNF4A PCSK4
HNF4A CYP2C9
MED14 FBXW7
MED14 SREBF1
MED14 ACTN1
MED14 TRRAP
MED14 CBX4
MED14 VDR
MED14 CDK8
MED14 PPARGC1A
MED14 MED13
MED14 MED29
MED14 MED15
MED14 MED16
MED14 UACA
TNK1 SFN
TNK1 TNK1
USP15 SMAD4
USP15 CTNNB1
USP15 UBC
USP15 SMAD7
USP15 TRIM25
USP15 GOLGA2
USP15 BMPR1A
USP15 RNF40
USP15 PRPF3
USP15 USP15
USP15 SELENBP1
USP15 MEPCE
USP15 PIBF1
MADD YWHAZ
MADD TNFRSF10B
MADD NPDC1
MADD TNFRSF10A
MADD MADD
HID1 INPPL1
AGR2 YWHAZ
AGR2 SFPQ
AGR2 P4HB
AGR2 DAG1
AGR2 NUP62CL
AGR2 CSNK1A1
AGR2 FASN
AGR2 AHNAK
AGR2 TUBB3
AGR2 RPL31
AGR2 TUBB2A
AGR2 HSP90B1
AGR2 FLNB
AGR2 PLEC
AGR2 RRBP1
AGR2 HYOU1
AGR2 ILF3
AGR2 VCL
AGR2 DYNC1H1
AGR2 ANXA2
AGR2 UBC
AGR2 EIF4A1
AGR2 TUBB4B
AGR2 EZR
AGR2 ALDH18A1
AGR2 ACTN4
AGR2 ACTN1
AGR2 EIF5B
AGR2 FUS
AGR2 ATP2A2
AGR2 HDLBP
AGR2 RPS29
AGR2 DAPK1
AGR2 EWSR1
AGR2 HMGA1
AGR2 MUC2
AGR2 FABP2
AGR2 TRAF2
AGR2 ANKRD11
FASN NFKB2
FASN EWSR1
FASN YWHAZ
FASN ACACA
FASN NDRG1
FASN CPT1A
FASN ACACB
FASN MGLL
FASN ACSL5
FASN FASN
CENPX TRIM54
CENPX FANCA
CENPX FANCC
CENPX REL
PGM3 ALDH2
PGM3 ALDH1A1
PGM3 UAP1
FOXP1 CTBP2
FOXP1 FOXP2
FOXP1 FOXP4
FOXP1 FOXP1
SOCS4 PIK3R3
RPAP3 POLR2A
RPAP3 SBF1
MAP1LC3A UBC
MAP1LC3A MAP1S
MAP1LC3A SQSTM1
MAP1LC3A OPTN
MAP1LC3A TBC1D17
MAP1LC3A ULK1
MAP1LC3A PIK3C2A
MAP1LC3A TBC1D2
MAP1LC3A TBC1D2B
MAP1LC3A TP53INP2
MAP1LC3A AMBRA1
MAP1LC3A SPRED2
MAP1LC3A PRKCI
MAP1LC3A TUBA4A
MAP1LC3A SAFB2
MAP1LC3A IRGQ
ANXA11 EWSR1
ANXA11 TFG
ANXA11 S100A6
EFNB1 SRC
EFNB1 PICK1
EFNB1 SORBS1
EFNB1 EFNB1
EFNB1 EPHB2
SRC INPPL1
