BAD SFN
BAD YWHAE
BAD YWHAH
BAD PRKCI
BAD S100A10
BAD RPS6KA1
BAD PPP3CA
BAD HRK
BAD PIM3
CTNND1 CTNNB1
CTNND1 SRC
CTNND1 KRAS
CTNND1 PSEN1
CTNND1 CTNNA1
CTNND1 CTTN
CTNND1 MUC1
CTNND1 ACTG1
CTNND1 NRAS
CTNND1 CDH1
CTNND1 YES1
CTNND1 JUP
CTNND1 SQSTM1
CTNND1 PLEKHA7
CTNND1 CTNND1
ATOH1 CSNK1D
CAMK2D SRC
CAMK2D HES1
CAMK2D POLR2A
CAMK2D KRT8
CAMK2D KRT18
CAMK2D DLG1
CAMK2D FKBP1B
CAMK2D RPS18
CAMK2D CAMK2D
CAMK2D CAMK2G
CAMK2D EPHA10
HSPA1A HDAC1
HSPA1A SOX9
HSPA1A FOS
HSPA1A HSPA5
HSPA1A YWHAZ
HSPA1A TRIM25
HSPA1A TNFRSF1A
HSPA1A TCERG1
HSPA1A HSP90AA1
HSPA1A CDH1
HSPA1A ACTN4
HSPA1A TRAF2
HSPA1A KRT18
HSPA1A CFTR
HSPA1A SRRM2
HSPA1A DNAJB1
HSPA1A LAMA3
HSPA1A HSPA1A
HSPA1A SLC5A1
HSPA1A MAP3K14
HSPA1A NFKBIE
HSPA1A RIPK3
HSPA1A DNAJB11
HSPA1A APAF1
HSPA1A SVIL
HSPA1A RCOR1
HSPA1A PPP1R15A
HSPA1A BAG1
HSPA1A PACSIN2
HSPA1A RELB
HSPA1A MPP3
HSPA1A ZNF217
HSPA1A HSPA2
HSPA1A HSPBP1
HSPA1A RREB1
RASSF6 MDM2
SPINT1 TENT5A
SPINT1 AGR3
SPINT1 ST14
VTI1B CLINT1
VTI1B VAMP8
VTI1B TMEM51
VTI1B CREB3
VTI1B SYNE4
VTI1B GOLGB1
VTI1B CRB3
VTI1B RNASEK
IER2 PPP2R2D
KHDRBS2 ZFC3H1
KHDRBS2 CHTOP
KHDRBS2 EWSR1
KHDRBS2 PTK6
KHDRBS2 PRR3
KHDRBS2 YTHDC1
KHDRBS2 SPG7
KHDRBS2 AEN
KHDRBS2 KHDRBS2
KHDRBS2 LNX1
ZFAND2B UBC
ZFAND2B ASB7
ZFAND2B RNF5
ZFAND2B ZFAND2B
RBM38 MDM2
HOXA11 GMNN
HOXA11 MEIS1
CWC25 MDM2
ACAT1 AGR2
ACAT1 TNIK
ACAT1 HADH
ACAT1 ACAA2
ACAT1 HMGCS1
MOBP BOLA2B
MAP4K5 CRK
MAP4K5 TRAF2
MAP4K5 MIDN
MAP4K5 MUC2
MAP4K5 SDF4
MAP4K5 KDM2A
MAP4K5 ZNF440
MAP4K5 MUC5B
RPS8 AGR2
RPS8 NAE1
RPS8 TRIM25
RPS8 ANXA2
RPS8 RPL31
RPS8 YBX1
RPS8 HSP90AA1
RPS8 RPL28
RPS8 TOP1
RPS8 NDRG1
RPS8 RPLP2
RPS8 HNRNPM
RPS8 YWHAH
RPS8 RPS11
RPS8 RPL36
RPS8 RPS21
RPS8 RPS19
RPS8 RPS27L
RPS8 RPL27A
RPS8 RPL35
RPS8 RPL37A
RPS8 RPS24
RPS8 RPS29
RPS8 RPL10L
RPS8 RPS18
RPS8 RC3H1
RPS8 UPF1
RPS8 RPL36A
RPS8 RPL29
RPS8 RPL13A
RPS8 MAP3K14
RPS8 VDAC3
RPS8 ATAD3B
RPS8 RPL39
RPS8 VDAC2
RPS8 RPL38
RPS8 DHX15
RPS8 ZNF326
RPS8 MYL6
RPS8 EIF4A3
RPS8 RPS15
RPS8 GTPBP4
RPS8 DDX3X
RPS8 DDX21
RPS8 SRPK1
RPS8 RPL37
RPS8 SCYL2
RPS8 RPS4Y1
RPS8 RPL41
RPS8 DLG3
