TRDN ASPH
MAPKBP1 MAPK10
MAPKBP1 KRT31
MAPKBP1 RGS20
MAPKBP1 MDFI
MAPKBP1 KRTAP3-2
SLC7A5 ITGB1
SLC7A5 SLC3A2
AGT NR2F1
AGT REN
AGT PLPPR3
AGT MAS1
AGT AGT
ZNF503 TENT5B
COL8A1 OTX1
COL8A1 RGS20
COL8A1 KRTAP3-2
COL8A1 CCN3
COL8A1 ITGA2
COL8A1 COL8A2
COL8A1 POF1B
ABCA1 LIMK1
ABCA1 ARHGEF12
ABCA1 TIAM1
ABCA1 SNTA1
ABCA1 DLG3
ABCA1 MPP6
ABCA1 LMO7
ABCA1 RIMS2
ABCA1 PDLIM3
KRT17 EGFR
KRT17 KRT8
KRT17 TRIM21
KRT17 KRT6A
KRT17 KRT7
LGALS3 EGFR
LGALS3 SLC12A2
LGALS3 MYOC
LGALS3 LIM2
LGALS3 LGALS3
LGALS3 MYLK
LGALS3 CRX
ZNF629 HOMEZ
ZNF629 RSPH14
CHD7 RBBP5
RPS26 NDRG1
RPS26 OTX2
AGR2 MSH6
AGR2 YWHAZ
AGR2 TXN
AGR2 YWHAE
AGR2 HSPA8
AGR2 LYPD3
AGR2 KRT31
AGR2 ANXA1
AGR2 PRDX1
AGR2 HSP90AA1
AGR2 TUBB3
AGR2 S100A11
AGR2 TUBB2A
AGR2 HSPD1
AGR2 TKT
AGR2 ANXA2
AGR2 UBC
AGR2 TUBB4B
AGR2 HSPH1
AGR2 EZR
AGR2 DDX3X
AGR2 SERPINH1
AGR2 ACTN4
AGR2 MATR3
AGR2 AKR1C2
AGR2 HSPA1L
AGR2 ARF4
AGR2 TUBB6
AGR2 HMGA1
AGR2 GUCA1A
AGR2 IL36RN
AGR2 POLR2L
AGR2 APOBEC3B
AGR2 ASPH
LCN2 PELI1
LCN2 TTC23
LCN2 ALDH7A1
LCN2 LCN2
LCN2 ASPH
EFNB1 EGFR
EFNB1 SRC
EFNB1 GRIP1
EFNB1 SORBS1
EFNB1 TIAM1
EFNB1 EFNB1
EFNB1 GRIP2
SRC MDM2
SRC SRF
SRC CTNNB1
SRC EGFR
SRC CDK7
SRC CCND1
SRC FGFR1
SRC MT-ND2
SRC CDH1
SRC ESR2
SRC CRK
SRC MUC1
SRC CAV1
SRC HSP90AA1
SRC SRC
SRC KIT
SRC EFS
SRC ENO1
SRC PBK
SRC DLX4
SRC YWHAG
SRC PRKCI
SRC ANXA1
SRC YWHAE
SRC HSP90AB1
SRC YES1
SRC EXTL3
SRC ADRB2
SRC NXPH3
SRC TFG
SRC EZR
SRC GAB1
SRC AKAP6
SRC EDNRA
SRC PROM1
SRC EPHA4
SRC F2RL2
SRC PLD1
SRC FHIT
SRC CD59
SRC CTTN
SRC CDC25C
SRC ANXA2
SRC CELSR2
SRC DLG4
SRC MT2A
SRC UBC
SRC KCNB1
SRC L1CAM
SRC SH3PXD2A
SRC CCNA2
SRC ISG20L2
SRC TIAM1
SRC HOXC8
SRC CNN3
SRC DAAM1
SRC DAPP1
SRC ERBB3
SRC EFNB2
SRC TRPV4
SRC GJA1
SRC DDR2
SRC CAST
SRC CDH2
SRC TUB
SRC MAP2
SRC ETS2
SRC CDCP1
SRC PAX3
SRC CEACAM1
SRC STAP2
SRC NOS2
SRC CDK6
SRC MYLK
SRC BAG3
SRC JUP
SRC GSN
SRC ARR3
SRC GFAP
SRC OGN
SRC TGM2
SRC P2RY2
CHTOP APP
KIAA0040 MDFI
ITGA8 ITGB1
ITGA8 NPNT
GLDC TNFAIP3
GLDC GLDC
PLEKHF2 KRT15
PLEKHF2 CRYAB
PLEKHF2 GLUL
PLEKHF2 SFN
PLEKHF2 NFIA
PLEKHF2 REEP6
PLEKHF2 DUSP4
PLEKHF2 TP53BP2
PLEKHF2 MBP
PLEKHF2 ZNF165
PLEKHF2 GEM
PLEKHF2 S100A1
PLEKHF2 BEND7
PLEKHF2 TXNL4B
PLEKHF2 ZNF263
PLEKHF2 TMEM159
PLEKHF2 TRAPPC3
PLEKHF2 S100A13
PLEKHF2 MPP4
PLEKHF2 PACSIN1
PLEKHF2 EML2
PLEKHF2 FGF13
PLEKHF2 RASGEF1B
PLEKHF2 TRAM1L1
PLEKHF2 MAGI2
PLEKHF2 SAMD11
PLEKHF2 ASPH
CACNB2 CTBP2
BICDL2 KLC3
BICDL2 TSGA10IP
TJP2 YWHAG
TJP2 YWHAZ
TJP2 SFN
TJP2 TJP1
TJP2 OCLN
TJP2 CLDN1
CDK2AP1 GATAD2A
CDK2AP1 CDKN2B
KCNV1 KCNB1
NR2E3 CRX
NR2E3 NR1D1
NR2E3 POLR3D
PELI1 TP63
PELI1 LMNA
PELI1 UBC
PELI1 TRIP13
PELI1 INPP5J
GPRC5B ADRB2
USP46 SET
USP46 PHLPP1
USP46 DMWD
USP46 PHLPP2
CLDND1 SNRPG
SCEL SFN
SCEL KIFC3
CPEB1 MAP2
USP2 MDM2
USP2 CTNNB1
USP2 CCND1
USP2 UBC
USP2 KRT15
USP2 TGFBR1
USP2 CRY1
USP2 KIFC3
USP2 HOMER3
USP2 RRP15
USP2 KRT31
USP2 OIP5
USP2 ABI2
USP2 ASPG
USP2 KAZN
USP2 S100A10
CDON CTNNB1
CDON CDH1
CDON CDH2
CDON BOC
CEP72 ZNF417
CAMSAP2 YWHAG
CAMSAP2 NINL
CHORDC1 HSP90AA1
CHORDC1 HSP90AB1
CHORDC1 AHSA1
CHORDC1 FKBP4
CHORDC1 TTC4
C1orf116 HOMER3
C1orf116 HOMER1
RTN4IP1 WWTR1
RTN4IP1 SORBS1
SCX SOX9
LSMEM2 EMP1
LSMEM2 LSMEM1
LSMEM2 CLDN7
PTPRZ1 CTNNB1
PTPRZ1 ALK
PTPRZ1 VEGFA
PTPRZ1 ITGAV
PTPRZ1 CNTN1
PTPRZ1 PTN
PTPRZ1 TNR
PTPRZ1 MDK
PTPRZ1 PTPRZ1
KCNMA1 ALB
KCNMA1 ADRB2
KCNMA1 KCNMA1
NAF1 SH3RF1
NAF1 MSX2
NAF1 TENT5B
NAF1 NAF1
SPP1 ITGB1
SPP1 ITGAV
SPP1 ITGB6
SPP1 IGFBP5
SPP1 NCS1
MYOC ANXA2
MYOC ENO1
MYOC TGFBR1
MYOC TIMP1
MYOC COL1A2
MYOC A2M
MYOC TKT
MYOC MYOC
MYOC MYL2
MYOC SERPINF1
MGST1 EGF
MGST1 FXYD3
MGST1 MGST1
PPP1R1B CDK7
PPP1R1B CDK6
PPP1R1B ROBO2
DCN EGFR
DCN CCN4
DCN COL1A2
DCN PLA2G2A
SULT2B1 DDIT4L
SULT2B1 SULT1E1
SULT2B1 SULT2B1
CEP83 ATF4
CEP83 YES1
CEP83 CEP83
EZR MDM2
EZR CTNNB1
EZR EGFR
EZR YWHAZ
EZR DLG1
EZR CDH1
EZR S100P
EZR EZR
EZR L1CAM
EZR PALLD
EZR PLS1
EZR PLS3
EZR MISP
EZR PRKCI
EZR SGK1
EZR PHLPP2
EZR TMEM8B
EZR ADORA2B
EZR PPL
EZR CAPN6
CHL1 YWHAG
PRRX1 SRF
PRRX1 MAFF
PRRX1 SOX10
EHF ELF3
EHF FRZB
KRT31 CDKN1A
KRT31 HSPD1
KRT31 YWHAG
KRT31 GSTP1
KRT31 KRT8
KRT31 LMO4
KRT31 KRT6B
KRT31 ABI2
KRT31 GEM
KRT31 KRT6A
KRT31 RSPH14
KRT31 SHC3
KRT31 KRT5
KRT31 LONRF1
KRT31 KIFC3
KRT31 BTC
KRT31 TTC23
KRT31 RIBC1
KRT31 PRR19
KRT31 PDE4DIP
KRT31 BYSL
KRT31 AMOTL2
KRT31 DLG3
KRT31 STK38L
KRT31 AQP5
KRT31 COMT
KRT31 ELF3
KRT31 ARSJ
KRT31 ZNF124
KRT31 PKP2
KRT31 KCTD9
KRT31 P3H3
KRT31 OTX1
KRT31 KIAA1217
KRT31 GFAP
KRT31 ITGB4
KRT31 PHLDA1
KRT31 CLDN19
KRT31 KRT78
KRT31 CFAP53
KRT31 ZNF417
KRT31 TRIML2
KRT31 KRT3
KRT31 SAMD11
OTX1 TYRP1
OTX1 TLE4
OTX1 HIVEP1
OTX1 MDFI
OTX1 RGS20
OTX1 KRTAP3-2
OTX1 PCSK5
OTX1 CCN4
