RHBDL2 EFNB2
CTNND1 JUP
CTNND1 PLEKHA7
CTNND1 CTNND1
ATOH1 CSNK1E
TUBGCP6 MKNK2
TUBGCP6 LGALS3BP
LIMK2 PRKCD
LIMK2 HSP90AA1
LIMK2 PARD3
LIMK2 ROCK2
LIMK2 CDC42BPA
LIMK2 DSTN
CAMK2D SRC
CAMK2D HES1
CAMK2D KRT8
CAMK2D KRT18
CAMK2D TNPO2
CAMK2D ATP2A2
CAMK2D DLG1
CAMK2D GRIN2B
CAMK2D PLCB3
CAMK2D CAMK2D
CAMK2D EPHA10
PRR14L PPP2R1A
BAHCC1 HDAC1
BAHCC1 CLSTN1
ACAD10 ECHS1
ACAD10 ACOX1
ACAD10 EHHADH
ACAD10 PRDX2
ACAD10 ACSL3
ACAD10 GPX2
ACAD10 ACOX2
ACAD10 ECHDC2
ACAD10 ACADS
SPINT1 TMEM97
SPINT1 TF
SPINT1 TENT5A
SPINT1 AGR3
SPINT1 ST14
MAP2K6 MAPK3
MAP2K6 GADD45A
MAP2K6 GADD45G
MAP2K6 MAP2K3
MAP2K6 PICK1
MAP2K6 MAP2K6
MAP2K6 MAPK13
ACAT1 AGR2
ACAT1 PDHA1
ACAT1 EHHADH
ACAT1 AACS
ACAT1 HMGCS1
BACE2 APP
BACE2 BACE2
ST3GAL4 B4GALT1
ST3GAL4 B4GALT2
ST3GAL4 B3GNT7
ST3GAL4 GCNT1
ST3GAL4 GCNT3
ST3GAL4 B3GNT3
ST3GAL4 ST6GALNAC1
ST3GAL4 B4GALT5
SLC25A4 SRC
SLC25A4 HSPD1
SLC25A4 ATP1A1
SLC25A4 SLC25A13
SLC25A4 PPIF
SLC25A4 SSR1
SYTL5 CEP70
SYTL5 RAB27A
SYTL5 RAB27B
FAM241B BIK
FAM241B SYNE4
FAM241B SLC7A1
FAM241B SLC39A11
ACTB AGR2
ACTB TP53
ACTB HDAC1
ACTB LMNA
ACTB ERBB2
ACTB SRC
ACTB SMARCA4
ACTB PRKCD
ACTB HDAC6
ACTB PLD1
ACTB UBC
ACTB APP
ACTB HSPD1
ACTB VCP
ACTB CLTC
ACTB HSPA5
ACTB YWHAZ
ACTB BCAR1
ACTB ANXA2
ACTB SPTBN2
ACTB ACTB
ACTB DSTN
ACTB ACTG1
ACTB TRAF3IP1
ACTB ENC1
ACTB EHHADH
ACTB HIP1R
ACTB PTPRF
ACTB ROCK2
ACTB UBB
ACTB SMAD9
ACTB HNRNPAB
ACTB MYL6
ACTB TNPO1
ACTB SMARCC1
ACTB SVIL
ACTB PI4KA
ACTB TJP1
ACTB EZR
ACTB LAMA3
ACTB MORF4L2
ACTB PLCD1
ACTB NCKAP1
ACTB ATP5F1A
ACTB PHACTR4
ACTB MYO1E
ACTB SSH3
ACTB PBRM1
ACTB DNASE1
ACTB HSP90AA1
ACTB PDLIM5
ACTB TPM1
ACTB VASP
ACTB NEBL
ACTB ACTN4
ACTB CSNK1A1
ACTB SYNJ2BP
ACTB BRD8
ACTB TANC1
ACTB CDC37
GFPT1 PRKCD
GFPT1 PRKAA2
GFPT1 PRKCA
GFPT1 SOCS6
GFPT1 PRKCI
GFPT1 PRKCZ
GFPT1 HK2
COG7 TAX1BP1
COG7 COG6
COG7 COG1
COG7 COG2
COG7 COG3
COG7 COG7
RAB17 BOLA3
BAZ2B CTBP2
BAZ2B GOLGA2
BAZ2B TRAF2
BAZ2B CEP70
BAZ2B NR2F6
BAZ2B BIVM
PMM1 HK2
PMM1 GMPPA
PMM1 GMPPB
TTLL5 TP53
UCHL3 UBC
UCHL3 UCHL3
UCHL3 UBA6
UCHL3 UBB
KRT17 KRT8
KRT17 KRT6A
KRT17 KRT7
LGALS3 LGALS3BP
LGALS3 SLC12A2
LGALS3 PLCE1
LGALS3 GOLGA2
LGALS3 LGALS3
LGALS3 CSNK1A1
LGALS3 CFTR
LGALS3 KIF16B
SHROOM3 SFN
HNF4A TP53
HNF4A CTNNB1
HNF4A SRC
HNF4A PRKAA2
HNF4A PROX1
HNF4A NCOA6
HNF4A HNF1A
HNF4A PPARA
HNF4A SREBF1
HNF4A NR0B2
HNF4A PPARGC1A
HNF4A HNF4A
HNF4A NR1I2
HNF4A ISL1
HNF4A MED16
HNF4A PCBD1
HNF4A MED24
HNF4A SREBF2
HNF4A CEACAM1
HNF4A NRIP1
HNF4A NR2F2
HNF4A CYP2C9
HNF4A PPARGC1B
TNK1 SFN
TNK1 TNK1
CHD7 SMARCA4
CHD7 SOX2
CHD7 SMARCC1
CHD7 PBRM1
SLC30A1 KRAS
HID1 INPPL1
HID1 EHHADH
HID1 CELF3
ACSF3 HSPD1
SH3BP4 YWHAZ
SH3BP4 DNM2
SH3BP4 GIPC1
SH3BP4 MYO6
SH3BP4 ARHGEF12
SH3BP4 SFN
SH3BP4 TFRC
SH3BP4 SH3BP4
RPS26 TP53
RPS26 NDRG1
RPS26 SLC25A1
AGR2 YWHAZ
AGR2 CLTC
AGR2 TXN
AGR2 P4HB
AGR2 PRDX4
AGR2 DAG1
AGR2 NUP62CL
AGR2 CSNK1A1
AGR2 MCCC2
AGR2 FASN
AGR2 HSP90AA1
AGR2 ATP5F1B
AGR2 RAB1A
AGR2 RAB2A
AGR2 NME1
AGR2 RPN2
AGR2 TUBB2A
AGR2 COPA
AGR2 HSP90B1
AGR2 FLNB
AGR2 PLEC
AGR2 EIF4G1
AGR2 RRBP1
AGR2 HYOU1
AGR2 ILF3
AGR2 HSPD1
AGR2 VCL
AGR2 DYNC1H1
AGR2 VCP
AGR2 ANXA2
AGR2 PYGB
AGR2 UBC
AGR2 TUBB4B
AGR2 HSPH1
AGR2 EZR
AGR2 LRRC59
AGR2 ALDH18A1
AGR2 PDIA3
AGR2 ACTN4
AGR2 GPI
AGR2 UGGT1
AGR2 PRDX2
AGR2 EIF5B
AGR2 DDX1
AGR2 CMPK1
AGR2 AKR1C2
AGR2 ATP2A2
AGR2 HDLBP
AGR2 ETFA
AGR2 ARF4
AGR2 ALDH1L1
AGR2 HMGA1
AGR2 MUC2
AGR2 FABP2
AGR2 RBFOX1
AGR2 TRAF2
AGR2 SGTA
AGR2 C3
AGR2 CYB5R2
AGR2 ANKRD11
AGR2 ASPH
FASN YWHAZ
FASN HSP90AA1
FASN NDRG1
FASN LNX1
FASN MAPK13
FASN SLC27A2
FASN CPT1A
FASN ACSL3
FASN MGLL
FASN ACSL5
FASN FASN
FASN CPT1B
FASN SCD
CENPX RMI1
CENPX FANCC
CENPX FAAP100
PGM3 ALDH7A1
PGM3 ALDH2
PGM3 ALDH1A1
PGM3 ALDH1A3
PGM3 UAP1
PGM3 ALDH3A1
FOXP1 CTBP2
FOXP1 CTBP1
FOXP1 AURKA
FOXP1 FOXP2
FOXP1 FOXP4
FOXP1 FOXP1
RBP1 HDAC1
LCN2 PRKAA2
LCN2 PDIA4
LCN2 SGTA
LCN2 CCNC
LCN2 PICK1
LCN2 ALDH7A1
LCN2 EHHADH
LCN2 P4HB
LCN2 MYDGF
LCN2 LCN2
LCN2 ASPH
LCN2 SEC61G
LCN2 PTRH1
BSPRY YWHAZ
CLYBL PCK2
CLYBL GOT1
CLYBL GOT2
ANXA11 TFG
ANXA11 WWOX
ANXA11 S100A6
SEC23B SEC16A
SEC23B DTX2
SEC23B SEC31A
SEC23B FBXW5
SEC23B SEC13
SEC23B PRRC1
SEC23B SYNE4
SEC23B SEC24D
SEC23B HOXA3
SEC23B SEC23B
EFNB1 SRC
EFNB1 PICK1
EFNB1 EFNB1
EFNB1 EPHB2
SRC INPPL1
SRC AKT1
SRC MAPK8IP3
SRC SRF
SRC CTNNB1
SRC CCND1
SRC ERBB2
SRC PTK2
SRC CLTC
SRC KRAS
SRC EPHB2
SRC MT-ND2
SRC CDH1
SRC BCAR1
SRC NCOA6
SRC DAG1
SRC MUC1
SRC SHB
SRC HSP90AA1
SRC VDR
SRC SRC
SRC DNM2
SRC CBLC
SRC LNX1
SRC TRIM15
SRC PDPK1
SRC YWHAH
SRC PRKCI
SRC SOS1
SRC UGT2B7
SRC HNF1A
SRC CDC37
SRC UBB
SRC YES1
SRC CD2AP
SRC ARHGAP17
SRC AFDN
SRC TRIP4
SRC TNFRSF11A
SRC GAST
SRC TFG
SRC EZR
SRC TULP4
SRC PROM1
SRC EPHA4
SRC PRKCZ
SRC PRKCD
SRC AFAP1
SRC PRKCA
SRC PLD1
SRC CYP4F2
SRC ASAP2
SRC CTTN
SRC ANXA2
SRC VCL
SRC SHANK2
SRC RALGAPB
SRC AP2B1
SRC UBC
SRC ARAF
SRC SH3PXD2A
SRC CUL9
SRC ID4
SRC VIL1
SRC GUCY2C
SRC MKI67
SRC GRIN2B
SRC CHN2
SRC ANKRD11
SRC SLC9A2
SRC DAAM1
SRC FLNB
SRC ERBB3
SRC HES1
SRC DLGAP4
SRC EFNB2
SRC TRPV4
SRC GP2
SRC CAST
SRC FARP2
SRC GJB1
SRC DOCK1
SRC HSP90AA2P
SRC PXN
SRC CD46
SRC INSR
SRC TNS3
SRC ETS2
SRC WWOX
SRC MST1R
SRC SRRT
SRC CDCP1
SRC MICAL1
SRC CEACAM1
SRC STAP2
SRC CDK6
SRC JUP
TRIM25 TP53
TRIM25 VCP
TRIM25 KLF5
TRIM25 ILF3
TRIM25 JUP
TRIM25 KIF5B
TRIM25 PSMD1
TRIM25 TRIM25
TRIM25 PITX2
TRIM25 RNPEP
TRIM25 SLC25A13
TRIM25 GPRC5A
TRIM25 TUBB4B
TRIM25 TMED9
TRIM25 PBRM1
TRIM25 MAP3K13
TRIM25 SFN
TRIM25 TFG
SCAP SREBF1
SCAP ERLIN2
SCAP SREBF2
SCAP GOLM1
SCAP SCAP
ONECUT2 KDM5B
CACNB2 CTBP2
SCG3 PTK2
SCG3 CHGA
TJP2 HGS
TJP2 YWHAZ
TJP2 CTNNA1
TJP2 SFN
TJP2 TJP1
TJP2 OCLN
TJP2 CGN
TJP2 CLDN1
DOCK5 PPP2R1A
TMF1 SMARCA4
CDK2AP1 HDAC1
CDK2AP1 CDKN2B
CDK2AP1 PICK1
FOLH1 C3orf52
USP46 YWHAH
USP46 MYL6
USP46 PHLPP1
FOS ZFYVE9
FOS JUN
FOS LMNA
FOS CCND1
FOS HSP90B1
FOS ARFGAP1
FOS APP
FOS CLU
FOS LRRC59
FOS PRKAA2
FOS NCOA6
FOS HNF1A
FOS ETS2
FOS GATA4
FOS FOSL1
FOS DDIT3
FOS NQO1
FOS RRP12
FOS SUPT6H
FOS PKP2
FOS MT-ND2
FOS WEE1
FOS PNN
FOS TMSB10
FOS MDFI
FOS XBP1
FOS PRAP1
FOS VDR
FOS PPL
FOS SLC4A10
FOS RBM6
FOS EDN1
FOS FOS
FOS MAPK3
FOS MAPK13
FOS MAPK6
FOS ATP5ME
FOS GNL2
FOS EDF1
FOS EPHB2
FOS TLN2
FOS GOLM1
FOS CEBPG
FOS CCDC120
SCEL GOLGA2
SCEL SFN
CHD9 PPARA
LARP1B PIBF1
LARP1B RBBP8NL
FNBP4 PLXNA2
MAST2 YWHAH
MAST2 TRAF2
MAST2 GCN1
MAST2 CDHR2
MAST2 STK36
HM13 HERC2
TRAPPC6A TAX1BP1
TRAPPC6A GORASP2
TRAPPC6A RAB3IP
TRAPPC6A RUSC1
TRAPPC6A TEPSIN
TRAPPC6A UBAP2
TFF3 SGTA
TFF3 PCBD1
TFF3 ZSCAN9
TFF3 TFF3
FAM162A HSP90AA1
CHN2 AKT1
CHN2 ERBB3
CHN2 SHF
ACY3 GORASP2
ACY3 LNX1
ACY3 PMM2
ACY3 ACY3
ARFGEF2 CTNNB1
ARFGEF2 PNPLA2
ARFGEF2 NEDD4L
ARFGEF2 PDE3A
SLIRP PICK1
VDR TP53
VDR NCOR1
VDR JUN
VDR SMARCA4
VDR PPARG
VDR NCOA6
VDR PRKCA
VDR SMARCC1
VDR ACTN4
VDR MED13
VDR MED16
VDR MED24
VDR VDR
VDR HR
VDR BAG1
VDR NRIP1
VDR NR0B2
VDR ANKRD11
ICMT MUC1
ICMT PDZK1IP1
ICMT RNF19B
PTPRZ1 CTNNB1
PTPRZ1 ERBB2
PTPRZ1 PXN
PTPRZ1 VEGFA
PTPRZ1 MDK
PTPRZ1 PTPRZ1
KCNMA1 PTK2
KCNMA1 PRKCA
KCNMA1 MAGI1
KCNMA1 CACNA1H
KCNMA1 AKAP5
KCNMA1 KCNMA1
SLC4A7 KRAS
SLC4A7 CFTR
SLC4A7 SLC4A4
FYB2 FDFT1
VAMP8 YWHAH
VAMP8 PNN
VAMP8 STX3
VAMP8 STX1A
TNPO2 GCH1
TNPO2 NXF1
TNPO2 NME1
TNPO2 A1CF
TNPO2 BEND7
TNPO2 PYCR1
SGTA HSP90AA2P
SGTA HSP90AA1
SGTA F11R
SGTA SPPL2A
SGTA GET4
SGTA PPIC
SGTA SDC4
SGTA SLPI
SGTA TFRC
SGTA TGFA
SGTA MYDGF
SGTA C3orf52
SGTA PRAP1
SGTA ZG16B
SGTA AGR3
SGTA ZG16
SGTA BTC
SGTA MSMB
SGTA KRT6A
SGTA SMAGP
SGTA SGTA
SGTA TMEM98
SGTA PMEPA1
SGTA PRRG2
SGTA SDF2L1
SGTA MRAP2
SGTA IER3
SGTA ETNK1
SGTA SMIM14
SGTA GUCA2A
SGTA SMIM5
SLC22A5 SLC9A3R1
SLC22A5 SH3RF1
SLC22A5 SLC9A3R2
SLC22A5 PDZD3
SDR42E1 CREB3
PPP1R1B CDK6
PPP1R1B DLGAP4
TMEM41A STX1A
TMEM41A FA2H
RAB27A SYTL4
RAB27A STX1A
RAB27A MLPH
RAB27A MYRIP
RAB27A SYTL2
RAB27A EEF1A1P5
RAB27A EXPH5
SULT2B1 SULT1B1
SULT2B1 SULT1A1
SULT2B1 SULT2B1
NDUFS6 FGFR3
NDUFS6 MAPK6
NDUFS6 MT-ND2
NDUFS6 CYC1
NDUFS6 NDUFB10
NDUFS6 NDUFB7
NDUFS6 NDUFA9
NDUFS6 NDUFS8
NDUFS6 NDUFV3
NDUFS6 NDUFA7
NDUFS6 NDUFV1
NDUFS6 MT-ND4
NDUFS6 NDUFA1
NDUFS6 UQCRQ
NDUFS6 MT-ND4L
NDUFS6 UQCR10
NDUFS6 MT-ND6
NDUFS6 ETFDH
NDUFS6 MT-ND1
NDUFS6 MT-CYB
NDUFS6 UQCRC1
EZR CTNNB1
EZR ERBB2
EZR PTK2
EZR PRKCA
EZR YWHAZ
EZR PRKAB1
EZR DLG1
EZR CDH1
EZR S100P
EZR CFTR
EZR SLC9A3R1
EZR SLC9A3R2
EZR EZR
EZR PALLD
EZR PLS1
EZR MISP
EZR PRKCI
EZR PLCB3
EZR WWOX
EZR CASP10
EZR CLIC5
EZR TNFRSF10B
EZR PPL
ECHS1 CAPN1
ECHS1 YWHAZ
ECHS1 PRKAB1
ECHS1 ACOX1
ECHS1 UBA5
ECHS1 EHHADH
ECHS1 ECHDC2
ECHS1 ACADS
ECHS1 DDA1
CHL1 JUN
CEP95 GOLGA2
CEP95 CARD10
CEP95 HOOK2
CEP95 PICK1
CEP95 CCDC125
LIN7C BAIAP2
LIN7C YES1
LIN7C DLG1
LIN7C CFTR
LIN7C CASK
LIN7C MPP5
LIN7C SPATA2
PRLR UBC
PRLR YWHAZ
PRLR PRLR
PRLR NEK3
PRLR PLPP6
NBPF26 KDM1A
EHF ELF3
EHF FRZB
SLC22A18AS DTX2
TTC3 AKT1
TTC3 UBC
TTC3 POLG
MYL6 HSPD1
MYL6 ANXA2
MYL6 HSP90AA1
MYL6 VCL
MYL6 ATP5F1A
MYL6 MYH14
MYL6 TNPO1
OTX1 SMARCC1
OTX1 WWOX
OTX1 KRT81
OTX1 MDFI
OTX1 PLA2G10
OTX1 PCSK5
OTX1 UBAP2
OTX1 SLC15A2
OTX1 USP54
OTX1 ETFDH
OTX1 GPRIN2
HSPB1 AKT1
HSPB1 TP53
HSPB1 PRKCD
HSPB1 CALR
HSPB1 TSC22D1
HSPB1 PRKCA
HSPB1 YWHAZ
HSPB1 MAGED1
HSPB1 EIF4G1
HSPB1 HSP90AA1
HSPB1 PRKCI
HSPB1 PRKCZ
HSPB1 EIF4G2
HSPB1 CFTR
HSPB1 MAPKAPK5
HSPB1 HSPB1
HSPB1 CS
HSPB1 AARSD1
HSPB1 SPIN1
HSPB1 TES
HSPB1 CYCS
LCOR HDAC1
LCOR KDM1A
LCOR HDAC6
LCOR CTBP2
LCOR CTBP1
LCOR GOLGA2
LCOR CBX4
LCOR CEP70
LCOR EHMT1
LCOR RREB1
LCOR ZNF217
NR2F2 HDAC1
NR2F2 AK3
NR2F2 TENT5A
NR2F2 NR2F6
NR2F2 BCL11A
NR2F2 AACS
NR2F2 APOA4
NR2F2 NR2F2
ZNF440 CARD10
ZNF440 XBP1
ZNF440 MDFI
ZNF440 PAX9
ZNF440 STX1A
EDF1 JUN
EDF1 PPARG
EDF1 PRKCA
EDF1 NR5A2
EDF1 MAPK6
EDF1 CALM2
SDCBP2 ARF4
SDCBP2 ADAP1
SDCBP2 BEND7
SDCBP2 PAFAH1B3
SDCBP2 SDCBP2
TCERG1 HSPA5
TCERG1 PAXBP1
TCERG1 ACIN1
TCERG1 U2SURP
TCERG1 LUC7L3
TCERG1 SRRM2
TCERG1 FANCC
TCERG1 DHX15
TCERG1 SRRT
TCERG1 NCBP1
TCERG1 THOC2
TCERG1 SF3B4
TCERG1 RNU1-4
TCERG1 WWOX
TCERG1 SRSF11
TCERG1 PPIL2
PDZRN3 EFNB2
PDZRN3 SLC5A8
PDZRN3 PDZRN3
KSR2 MAPK3
IFRD1 HDAC1
IFRD1 PIP5K1B
PDX1 NEUROD1
PDX1 TCF3
PDX1 ATF3
PDX1 HMGA1
PDX1 MAFA
PDX1 FOXA2
