CLPS PNLIP
DOCK1 ANKRD28
DOCK1 VPS37C
UIMC1 SUMO2
UIMC1 UBC
UIMC1 COPS2
UIMC1 RAD23A
UIMC1 USP13
UIMC1 SKIL
UIMC1 G3BP1
UIMC1 WDR48
UIMC1 CAPZB
UIMC1 BAG5
UIMC1 ERP44
UIMC1 DLST
ZMIZ1 SMAD4
ZMIZ1 PIAS3
ZMIZ1 SMAD3
ZMIZ1 MAX
ZMIZ1 NOTCH1
ZMIZ1 TBC1D4
ZMIZ1 CACHD1
HNRNPDL DDX1
HNRNPDL HGS
HNRNPDL APC
HNRNPDL DDX5
HNRNPDL DDX17
HNRNPDL EWSR1
HNRNPDL ILF2
HNRNPDL TRAF6
HNRNPDL SNRNP70
HNRNPDL HNRNPA2B1
HNRNPDL HNRNPM
HNRNPDL ILF3
HNRNPDL ERG
HNRNPDL HNRNPH1
HNRNPDL TAF15
HNRNPDL HNRNPH3
HNRNPDL DHX15
HNRNPDL RALY
POLR2K POLR2A
POLR2K POLR2H
POLR2K MED10
POLR2K POLR2L
POLR2K POLR2I
POLR2K POLR2K
EYA3 SKI
EYA3 CDK2
EYA3 DACH1
NELFE YWHAG
NELFE POLR2A
NELFE NELFB
NELFE SUPT5H
NELFE VAMP3
NELFE WDR48
NELFE NELFE
DUSP3 MAPK3
DUSP3 MCC
DUSP3 HLA-B
DUSP3 PDGFA
CABP1 SP1
CABP1 CSNK2A2
CABP1 ITPR3
CABP1 PPP3R1
CABP1 NMT1
CABP1 GRK5
RBM22 CDC5L
RBM22 DDX5
RBM22 DDX17
RBM22 HNRNPK
RBM22 SNRNP70
RBM22 DHX9
RBM22 SRSF1
RBM22 HNRNPA2B1
RBM22 SNW1
RBM22 HNRNPM
RBM22 SF3B1
RBM22 SYF2
RBM22 TRA2B
RBM22 SPEN
RBM22 HNRNPH1
RBM22 RBM25
RBM22 SRRM2
RBM22 RBM39
RBM22 SYNCRIP
RBM22 ALYREF
RBM22 SRSF7
RBM22 SRSF11
RBM22 PRPF40A
RBM22 SNRPD3
RBM22 SNRPD1
RBM22 PNN
RBM22 SRRM1
RBM22 HNRNPR
RBM22 MFAP1
RBM22 SNRPB
RBM22 PPM1G
RBM22 SRSF9
RBM22 ISY1
RBM22 BUD31
RBM22 SNRPB2
RBM22 SNRNP27
RBM22 SRSF2
RBM22 RBM8A
RBM22 RBMX
RBM22 FRG1
RBM22 LSM2
RBM22 PRPF3
RBM22 ACIN1
RBM22 SNRPF
RBM22 SF3B6
RBM22 SNRNP40
RBM22 SNU13
RBM22 RBM17
RBM22 DDX23
RBM22 U2SURP
RBM22 MOV10
RBM22 LUC7L3
RBM22 SF3B2
RBM22 SNRPG
RBM22 DHX38
RBM22 CWC15
RBM22 DHX15
RBM22 PRPF8
RBM22 CFAP20
RBM22 SLU7
RBM22 SF3A3
RBM22 DDX46
RBM22 TRIR
RBM22 IK
RBM22 NUDT21
RBM22 RALY
RBM22 SRSF4
RBM22 SF3A2
RBM22 SNRPA1
RBM22 SNRPE
RBM22 PRPF4B
RBM22 SMNDC1
RBM22 PUF60
RBM22 RNPS1
NFAT5 CSNK1A1
NFAT5 TBC1D4
NFAT5 NFAT5
CDH5 CTNNB1
CDH5 PTPN11
CDH5 SHC1
CDH5 KDR
CDH5 EPHA2
CDH5 VIM
CDH5 PTPRB
CDH5 PKP4
CDH5 SMG1
APP JUN
APP GAPDH
APP PDIA3
APP KRAS
APP HSPA8
APP APPBP2
APP CLSTN1
APP APBB2
APP CALR
APP CAV1
APP KLC1
APP SHC1
APP GSN
APP BLMH
APP HGS
APP BCAP31
APP SET
APP HSPD1
APP YWHAG
APP GSK3B
APP MAPRE1
APP CLU
APP NOS3
APP NUMB
APP SULF1
APP IFIT3
APP APP
APP TM2D1
APP TMEM30A
APP KDR
APP VCP
APP ITGB3
APP CDC37
APP MYH9
APP HTRA2
APP NF1
APP CTCF
APP ADAM17
APP SPTAN1
APP A2M
APP PRSS2
APP FYN
APP DAB2
APP CASP3
APP NID1
APP CASP4
APP APLP2
APP HSPG2
APP COL4A1
APP BGN
APP COL4A2
APP EXOC6
APP PSEN2
APP GSK3A
APP HSP90AA1
APP PGAM1
SRP72 CDC5L
SRP72 CASP3
SRP72 SKIL
SRP72 MEPCE
DCTPP1 USP7
DCTPP1 SDCBP
DCTPP1 LNX1
DCTPP1 DCTPP1
DCTPP1 HLA-B
TCP1 MAP3K3
TCP1 RELA
TCP1 MYC
TCP1 CDC5L
TCP1 PPP4C
TCP1 HSPA8
TCP1 WDR82
TCP1 ILF2
TCP1 NCL
TCP1 TUBG1
TCP1 DHX9
TCP1 SNW1
TCP1 HSP90AB1
TCP1 ELAVL1
TCP1 SF3B1
TCP1 ILF3
TCP1 MCF2L
TCP1 PPP2CA
TCP1 RPL17
TCP1 SYNCRIP
TCP1 UPF1
TCP1 TBK1
TCP1 HNRNPL
TCP1 SYNE1
TCP1 TUBA1B
TCP1 MOV10
TCP1 CCT5
TCP1 CCT3
TCP1 STRN
TCP1 STRN3
TCP1 PPP2CB
TCP1 CCT4
TCP1 CCT6A
TCP1 SLC25A3
TCP1 RPL26
TCP1 PCBP2
TCP1 DDX18
TCP1 GTPBP4
TCP1 PDCL
TCP1 STK25
TCP1 MOB4
VCL CTNNB1
VCL GAPDH
VCL DDX1
VCL PTK2
VCL PDIA3
VCL UBC
VCL HSPA8
VCL GSN
VCL VCP
VCL BCAR1
VCL DAG1
VCL ANXA2
VCL HNRNPK
VCL MYH9
VCL ACTG1
VCL ACTN1
VCL VIM
VCL SORBS1
VCL ABI2
VCL PXN
VCL FERMT2
VCL TLN1
VCL SYNCRIP
VCL SNRPG
VCL ACTR2
VCL PRPF40A
VCL SORBS2
VCL ACTN4
VCL NUDT21
VCL G3BP1
VCL SERPINH1
VCL NONO
VCL SELE
VCL HIVEP1
VCL ACTR3
VCL MIF
VCL UBAP2L
VCL KANSL1
VCL RTRAF
VCL TGFB1I1
VCL CBX2
VCL TUBB4B
VCL LGALS1
VCL ATP5F1B
VCL NDEL1
VCL VCL
VCL SNRPE
VCL SORBS3
OSBPL10 AP2B1
OSBPL10 KEAP1
OSBPL10 VAPA
OSBPL10 SRRM2
OSBPL10 VAPB
OSBPL10 WRNIP1
TNRC6A UBC
TNRC6A WNK1
TNRC6A CNOT6L
HOXD10 CREBBP
HOXD10 HMGB1
HOXD10 PBX1
HOXD10 HOXD9
MAP2 JUN
MAP2 JUNB
MAP2 FYN
MAP2 DAG1
MAP2 PRKACA
MAP2 PAFAH1B1
MAP2 PRKAR2A
MAP2 PLEC
MAP2 MARK4
MAP2 MAP2
UBC AKT1
UBC MAP3K3
UBC NBR1
UBC ZBTB16
UBC DAXX
UBC RELA
UBC JUN
UBC SP1
UBC UBE3A
UBC USP7
UBC SYNE2
UBC MYC
UBC PLCG1
UBC TRIB3
UBC WRN
UBC HERC2
UBC EP300
UBC PIAS3
UBC RAC1
UBC CDKN1A
UBC HIF1A
UBC TRIM28
UBC NFKB2
UBC IGF1R
UBC COPB1
UBC ASAP1
UBC HGS
UBC SDCBP
UBC BCR
UBC CBL
UBC CD2AP
UBC PSMD2
UBC RAD23A
UBC SFPQ
UBC MYO6
UBC PSMD4
UBC PSMC5
UBC NEDD4
UBC RIPK1
UBC UBE2L3
UBC TNIP1
UBC NPLOC4
UBC RNF11
UBC EXOSC8
UBC VPS28
UBC CALCOCO2
UBC SQSTM1
UBC UBA2
UBC XIAP
UBC WWP1
UBC ARIH2
UBC PSMC4
UBC ADRM1
UBC RBCK1
UBC DDB1
UBC CCT3
UBC HNRNPM
UBC PCBP2
UBC BIRC6
UBC UBE2N
UBC UBE2D3
UBC NEDD8
UBC TCAF1
UBC TBC1D15
UBC HSPD1
UBC CCT6A
UBC NAP1L1
UBC PSMD12
UBC PSMC6
UBC PSMD7
UBC VCP
UBC PSMC3
UBC PSMD11
UBC PSMA6
UBC BIRC2
UBC CDC34
UBC TRAF6
UBC UBXN1
UBC OTUD7B
UBC USP13
UBC ZRANB1
UBC UBE3C
UBC RNF168
UBC RNF169
UBC ZFAND5
UBC UBE2G2
UBC OPTN
UBC LTN1
UBC USP1
UBC USP25
UBC EPN1
UBC NSFL1C
UBC CCDC50
UBC ZFAND3
UBC CAND1
UBC RNF115
UBC WRNIP1
UBC ACLY
UBC HUWE1
UBC HSPA5
UBC NOD1
UBC SMURF1
UBC UBC
UBC USP9X
UBC USP37
UBC SMURF2
UBC UBXN7
UBC UBE2R2
UBC TRIP12
UBC HECTD1
UBC OTUD4
UBC PSMC2
UBC PSMD1
UBC ZNF451
UBC DDX58
UBC ZNRF1
UBC NUB1
UBC KEAP1
UBC RNF38
UBC WDR48
UBC ELOC
UBC CAV1
UBC MINDY2
UBC ARIH1
UBC UBE2Q1
UBC YAF2
UBC CDC42
UBC YWHAG
UBC NFKBIA
UBC HSPA8
UBC TNFRSF1A
UBC POLR2A
UBC JUNB
UBC CFLAR
UBC RCAN1
UBC RHOA
UBC THRA
UBC RNF125
UBC NFKBIB
UBC TGFBR2
UBC BCL10
UBC ETV6
UBC TGM2
UBC PRPF8
UBC ABI2
UBC DAPK3
UBC JDP2
UBC EIF3A
UBC RNF180
UBC TAL1
UBC ING1
UBC RAP1B
UBC IRF1
UBC HNRNPK
UBC YWHAB
UBC IFNAR1
UBC RYBP
UBC RPS6KB1
UBC CD151
UBC GMEB1
UBC TCEA2
UBC ADRB2
UBC RALBP1
UBC MARK3
UBC BRAF
UBC TRIM5
UBC BSG
UBC TBK1
UBC MARK4
UBC NLK
UBC SH3RF3
UBC IL6ST
UBC S100A10
UBC PSEN2
UBC NUAK1
UBC RELB
UBC PAIP2
UBC NOTCH1
UBC HMGB1
UBC CD81
UBC ARRB1
UBC SNX9
UBC SNX3
UBC MED15
UBC LRP6
UBC TRIOBP
UBC MED10
UBC SMAD3
UBC ICAM1
UBC PELI2
UBC SNAI1
UBC DLGAP4
UBC KLF4
UBC ASAP2
UBC FAM168A
UBC CDIP1
UBC PLEKHB2
UBC PLSCR4
PCYT1A SDCBP
PCYT1A SCAMP1
PCYT1A TNFRSF10D
PCYT1A PCYT1A
NCOA1 SRF
NCOA1 CREBBP
NCOA1 SUMO1
NCOA1 RARA
NCOA1 STAT3
NCOA1 JUN
NCOA1 NR3C1
NCOA1 EP300
NCOA1 NFKB1
NCOA1 PPARG
NCOA1 CIITA
NCOA1 SMARCE1
NCOA1 RARB
NCOA1 TEAD2
NCOA1 CCND1
NCOA1 THRA
NCOA1 RBBP6
NCOA1 KANK2
NCOA1 AHR
NCOA1 NR5A2
NCOA1 PRMT2
NCOA1 ACTN1
NCOA1 YWHAH
NCOA1 PSMB9
NCOA1 DDX17
NCOA1 DDX5
NCOA1 SNW1
NCOA1 MAPK3
NCOA1 YWHAQ
NCOA1 TEAD1
NCOA1 NR1H2
NCOA1 NCOA1
NCOA1 HIF1A
ARHGEF3 SHC1
ARHGEF3 RHOA
NQO1 HIF1A
NQO1 BAG3
NQO1 ING1
NQO1 NQO1
SERTAD3 CREBBP
SERTAD3 USHBP1
SERTAD3 MRPL17
SERTAD3 DEPP1
SERTAD3 FXYD6
SERTAD3 SRGN
SERTAD3 KPNA2
SERTAD3 HGS
SERTAD3 KANK2
SERTAD3 SMARCD1
SERTAD3 TASOR2
SERTAD3 CTNNAL1
SERTAD3 PKN1
SERTAD3 SNRPB
SERTAD3 TXN
SERTAD3 FCHSD2
SERTAD3 ANKRD11
TMEM179B SLC1A1
TMEM179B IGFBP5
TMEM179B TMEM242
TMEM179B BTN2A2
TMEM179B GALNT15
TMEM179B LRP10
TMEM179B TMEM47
TMEM179B KTN1
TMEM179B MFSD6
SRSF7 CDC5L
SRSF7 LUC7L2
SRSF7 DDX5
SRSF7 DDX17
SRSF7 EWSR1
SRSF7 RBBP6
SRSF7 SNRNP70
SRSF7 DHX9
SRSF7 SRSF1
SRSF7 SNW1
SRSF7 SF3B1
SRSF7 STAU1
SRSF7 SYF2
SRSF7 TRA2B
SRSF7 SPEN
SRSF7 RBM25
SRSF7 SRRM2
SRSF7 RBM39
SRSF7 ALYREF
SRSF7 SDCBP
SRSF7 SRPK2
SRSF7 RNPS1
SRSF7 NXF1
SRSF7 SREK1
SRSF7 CLK1
SRSF7 SNRPB2
SRSF7 SNRNP27
SRSF7 SRSF2
SRSF7 RBM8A
SRSF7 LSM2
SRSF7 PRPF3
SRSF7 SNRPD1
SRSF7 ACIN1
SRSF7 PPM1G
SRSF7 SNRPF
SRSF7 SF3B6
SRSF7 SNRPD3
SRSF7 SNRNP40
SRSF7 SNU13
SRSF7 RBM17
SRSF7 DDX23
SRSF7 MFAP1
SRSF7 U2SURP
SRSF7 MOV10
SRSF7 LUC7L3
SRSF7 SNRPB
SRSF7 SF3B2
SRSF7 SNRPG
SRSF7 DHX38
SRSF7 CWC15
SRSF7 ISY1
SRSF7 DHX15
SRSF7 BUD31
SRSF7 PRPF8
SRSF7 CFAP20
SRSF7 SLU7
SRSF7 SF3A3
SRSF7 DDX46
SRSF7 TRIR
SRSF7 IK
SRSF7 PRPF40A
SRSF7 NUDT21
SRSF7 SNRPA1
SRSF7 SNRNP48
SRSF7 SMNDC1
SRSF7 PUF60
SRSF7 SF3A2
SRSF7 SRSF4
SRSF7 PRPF4B
SRSF7 SRRM1
SRSF7 DUSP11
SRSF7 SRSF9
SRSF7 SNRPE
SRSF7 SRSF11
SRSF7 LUC7L
SRSF7 PRPF38A
CYB5B NDUFAF2
CYB5B STOM
CYB5B CREB3
CYB5B MFSD14B
CYB5B BTNL9
BATF3 JUN
BATF3 JUNB
BATF3 FOSL1
BATF3 ATF2
BATF3 GPATCH2L
TEAD4 RELA
TEAD4 HAUS1
TEAD4 PRKAR1B
TEAD4 LZTS2
TEAD4 CCDC85B
TEAD4 SORBS3
TEAD4 SESTD1
ITGB5 PTK2
ITGB5 PDIA3
ITGB5 ITGB1
ITGB5 APPBP2
ITGB5 NUMB
ITGB5 BCAR1
ITGB5 CRK
ITGB5 DAB2
ITGB5 PXN
ITGB5 PAK4
ITGB5 TNS2
ITGB5 ANXA5
ITGB5 LTBP3
ITGB5 CCN1
ITGB5 ICAM4
ITGB5 LTBP1
ITGB5 ZBTB17
ITGB5 TLN1
ITGB5 ITGAV
ITGB5 MYO10
ITGB5 ITGB5
FCGRT PMP22
FCGRT FAM3C
FCGRT FCGRT
MIDN GADD45G
MIDN MAP3K20
YY1 SMAD4
YY1 HDAC2
YY1 RELA
YY1 SP1
YY1 MYC
YY1 EP300
YY1 NFKB1
YY1 SMAD3
YY1 ATF2
YY1 NEDD4
YY1 RYBP
YY1 ARRB1
YY1 ILF3
YY1 HDAC5
YY1 CREB1
YY1 SMAD2
YY1 SMURF2
YY1 NOTCH1
YY1 ATF6
YY1 ACTL6A
YY1 YY1
YY1 MECP2
YY1 INO80C
YY1 RNF2
YY1 SMARCA5
YY1 POU2F1
YY1 MTA2
YY1 BCL6
YY1 XRCC5
YY1 RELB
YY1 PHC2
YY1 YAF2
YY1 CBX2
YY1 TAF7
YY1 SF3A2
MRFAP1 MAP1LC3B
MRFAP1 UBTD1
MRFAP1 FCHSD2
MRFAP1 MORF4L1
MRFAP1 MORF4L2
MRFAP1 C8orf33
MRFAP1 MTIF3
MRFAP1 KIFC3
MRFAP1 SDCBP
MRFAP1 ABI2
MRFAP1 TXN
MRFAP1 CAVIN3
MRFAP1 TPM2
MRFAP1 BRK1
TRIP11 ATXN1L
TRIP11 THRA
TRIP11 PRKACA
TRIP11 YWHAH
TRIP11 MAP4K4
TRIP11 HLA-B
SPSB3 ENKD1
MAP3K20 RBX1
MAP3K20 MYC
MAP3K20 YWHAG
MAP3K20 MAP3K20
MAP3K20 ZNF71
MAP3K20 RNF19A
MAP3K20 DDAH2
MAP3K20 PKN1
ACTR1A NUMA1
ACTR1A SPTBN1
ACTR1A DCTN2
ACTR1A ACTR1B
ACTR1A ACTR10
ACTR1A HLA-B
ACTR1A ACTR1A
TMEM109 TRAF6
TMEM109 STOM
TMEM109 CREB3
TMEM109 GOLM1
TMEM109 MTIF3
TMEM109 SAR1A
NF1 SUMO1
NF1 KRAS
NF1 VCP
NF1 NRAS
NF1 SPRED1
NF1 STMN1
NF1 SDC3
NF1 TBPL1
NOL4L CTBP2
GPR108 FXYD6
ARIH1 JUN
ARIH1 UBE2D3
ARIH1 UBE2L3
ARIH1 UBE2N
ARIH1 TNFAIP1
ARIH1 NEDD8
ARIH1 UBE2L6
ARIH1 ARIH1
ARIH1 SELENOH
ARIH1 KCTD10
ARIH1 KCTD3
GRN CCNT1
GRN TRIB3
GRN CDK9
GRN MEF2D
GRN ATN1
GRN SMAD9
GRN NLK
GRN GLRX3
GRN HSPG2
GRN MEOX2
GRN NUFIP2
GRN PLLP
GRN P4HB
GRN TSPAN4
PDE8A NPR1
PDE8A ADCY4
CHST1 STOM
CD58 DNAJA1
PHKB HERC2
PHKB BRAF
TTC28 YWHAG
RPGR TUBG1
RPGR SMC3
RPGR YWHAE
RPGR DCTN2
KDM5C MAX
KDM5C E2F6
PMEPA1 HGS
PMEPA1 NEDD4
ZBTB4 BANP
ZBTB4 HIPK2
ZBTB4 CALCOCO2
ZBTB4 PIBF1
EID1 CREBBP
EID1 UBE3A
EID1 EP300
EID1 FBXO21
EID1 PSEN2
EID1 PPP2R1A
EID1 ARID4A
RAB6A KRAS
RAB6A RAB7A
RAB6A GDI1
RAB6A RABAC1
RAB6A NRAS
RAB6A ERC1
RAB6A HLA-B
RAB6A CHM
RAB6A RABGAP1
RAB6A GOLGA4
DCUN1D3 RBX1
DCUN1D3 KRAS
DCUN1D3 NRAS
DCUN1D3 CAND1
GRPEL1 RAB11A
GRPEL1 GRPEL1
GRPEL1 HLA-B
NFKB1 ZFYVE9
NFKB1 RELA
NFKB1 STAT3
NFKB1 SP1
NFKB1 BANP
NFKB1 CTNNB1
NFKB1 PRKDC
NFKB1 PPP4C
NFKB1 NR3C1
NFKB1 EP300
NFKB1 LYL1
NFKB1 SPAG9
NFKB1 NFKB2
NFKB1 NFKB1
NFKB1 RELB
NFKB1 IKBKB
NFKB1 NOTCH1
NFKB1 NFKBIA
NFKB1 NFKBIZ
NFKB1 HDAC5
NFKB1 TNIP1
NFKB1 PPARG
NFKB1 NFKBIB
NFKB1 TXN
NFKB1 DNAJA1
NFKB1 DDX46
NFKB1 CFLAR
NFKB1 CALM1
NFKB1 IRF2
NFKB1 MYH9
NFKB1 IFNGR1
NFKB1 COMMD2
NFKB1 POU2F1
NFKB1 TUBB6
NFKB1 MCC
NFKB1 AKAP8
NFKB1 KPNA1
NFKB1 CDK9
NFKB1 HSP90AB1
NFKB1 POLR2L
NFKB1 HSPA8
NFKB1 VIM
NFKB1 SPTBN1
NFKB1 PRKACA
NFKB1 RASAL2
NFKB1 INTS3
NFKB1 TBK1
NFKB1 IRF9
NFKB1 FLNB
NFKB1 CALM2
NFKB1 GSK3B
NFKB1 PCBP2
NFKB1 MYH10
NFKB1 GLG1
NFKB1 ZFP36
NFKB1 ETS1
NFKB1 ACTG1
NFKB1 NONO
NFKB1 VPS4A
NFKB1 SPTAN1
NFKB1 HMGB1
NFKB1 HNRNPM
NFKB1 APC
NFKB1 RSF1
NFKB1 SMG7
NFKB1 IRF1
NFKB1 COMMD7
NFKB1 UBE2D3
NFKB1 SFPQ
NFKB1 MYL12A
NFKB1 POLR2H
NFKB1 PAK2
NFKB1 APLP2
NFKB1 YWHAG
NFKB1 ATP5PF
NFKB1 HSPA5
NFKB1 HSP90AA1
NFKB1 KPNA2
NFKB1 KPNA4
NFKB1 DST
NFKB1 C1orf52
ZNF609 CDK2
UBE3A RARA
UBE3A CTNNB1
UBE3A PSMD2
UBE3A RAD23A
UBE3A UBE2D3
UBE3A UBE2L3
UBE3A RNF2
UBE3A UBE3A
UBE3A CALM1
UBE3A PSMD4
UBE3A PRDX1
UBE3A HERC2
UBE3A UBE2L6
UBE3A TXNL1
UBE3A SEM1
UBE3A UBB
UBE3A PSMC3
UBE3A WBP2
UBE3A RYBP
UBE3A PSMB4
UBE3A PSMB7
UBE3A PSMA2
UBE3A PSMB5
UBE3A PSMD1
UBE3A PSMA7
UBE3A PSMA4
UBE3A PSMD11
UBE3A PSMD12
UBE3A PSMA6
UBE3A PSMA3
UBE3A PSMD7
UBE3A PSMB2
UBE3A PSMD13
UBE3A PSMC5
UBE3A PSMC2
UBE3A PSMC4
UBE3A PSMC6
UBE3A SUGT1
UBE3A UBE2G2
UBE3A NR3C1
UBE3A YWHAE
UBE3A SMAD9
UBE3A SCAMP1
UBE3A EIF4G1
UBE3A POLE4
UBE3A CEBPZ
UBE3A PSAP
UBE3A PRAG1
UBE3A SUMO3
UBE3A UBXN1
UBE3A PARVA
EDN1 GATA2
EDN1 JUN
EDN1 ECE1
EDN1 EDN1
EDN1 VEZF1
EDN1 ADM
HNRNPH1 MAP3K3
HNRNPH1 SUMO2
HNRNPH1 GAPDH
HNRNPH1 DDX1
HNRNPH1 CDC5L
HNRNPH1 NFKB2
HNRNPH1 HSPA8
HNRNPH1 HSPD1
HNRNPH1 YWHAG
HNRNPH1 MBNL1
HNRNPH1 DDX5
HNRNPH1 DDX17
HNRNPH1 CDK2
HNRNPH1 EWSR1
HNRNPH1 HSPA5
HNRNPH1 ILF2
HNRNPH1 ARRB1
HNRNPH1 NCL
HNRNPH1 ANXA2
HNRNPH1 HNRNPK
HNRNPH1 SNRNP70
HNRNPH1 DHX9
HNRNPH1 SRSF1
HNRNPH1 HNRNPA2B1
HNRNPH1 EIF3B
HNRNPH1 HNRNPD
HNRNPH1 HSP90AA1
HNRNPH1 KHSRP
HNRNPH1 SNW1
HNRNPH1 VIM
HNRNPH1 NDRG1
HNRNPH1 HSP90AB1
HNRNPH1 HNRNPM
HNRNPH1 SSRP1
HNRNPH1 SF3B1
HNRNPH1 ILF3
HNRNPH1 SYF2
HNRNPH1 ERG
HNRNPH1 KPNB1
HNRNPH1 EIF3D
HNRNPH1 HNRNPL
HNRNPH1 SRRM2
HNRNPH1 MEPCE
HNRNPH1 RALY
HNRNPH1 HNRNPH3
HNRNPH1 SNRPB2
HNRNPH1 RBM8A
HNRNPH1 RBMX
HNRNPH1 RPL22
HNRNPH1 FRG1
HNRNPH1 LSM2
HNRNPH1 SNRPD1
HNRNPH1 TAF15
HNRNPH1 SYNCRIP
HNRNPH1 PNN
HNRNPH1 SNRPF
HNRNPH1 SNRPD3
HNRNPH1 ALYREF
HNRNPH1 SNRNP40
HNRNPH1 DDX23
HNRNPH1 SNRPB
HNRNPH1 SF3B2
HNRNPH1 SREK1
HNRNPH1 SNRPG
HNRNPH1 DHX38
HNRNPH1 CWC15
HNRNPH1 ISY1
HNRNPH1 DHX15
HNRNPH1 TNPO1
HNRNPH1 SRRM1
HNRNPH1 PRPF4B
HNRNPH1 GNAI2
HNRNPH1 RAN
HNRNPH1 RPS10
HNRNPH1 HNRNPR
HNRNPH1 PRPF8
HNRNPH1 PTBP1
HNRNPH1 SNRPE
HNRNPH1 SNRPA1
HNRNPH1 SF3A2
HNRNPH1 SF3A3
HNRNPH1 SLU7
HNRNPH1 LNX1
HNRNPH1 ENKD1
HNRNPH1 RBFOX2
HNRNPH1 HNRNPH1
PPP2R3A PPP2CA
PPP2R3A PPP2R1A
PPP2R3A HMGB1
PPP2R3A PPP2R3A
KLHL2 KEAP1
KLHL2 WNK1
KLHL2 CDC37
KLHL2 SDCBP
KLHL2 BCAM
KLHL2 MFAP1
KLHL2 PIBF1
KLHL2 ELOA
KLHL2 KLHL2
KLHL2 KLHL3
TFE3 SMAD4
TFE3 PSMA3
TFE3 TRIM28
TFE3 SET
TFE3 YWHAG
TFE3 SMAD3
TFE3 NAP1L1
TFE3 PDCD6IP
TFE3 DHX9
TFE3 SMARCE1
TFE3 PSMA6
TFE3 NASP
TFE3 SERPINE1
TFE3 GANAB
TFE3 PPP2CB
TFE3 TFE3
TFE3 PSMD1
TFE3 NEDD8
TFE3 EIF3A
TFE3 FSCN1
TFE3 HMGB1
TFE3 ACLY
GSN PLCG1
GSN PTK2
GSN ARRB1
GSN FN1
GSN DBN1
GSN ACTG1
GSN BCAR1
GSN PIK3CA
GSN ITGAV
GSN PXN
GSN ACTN4
GSN PLCG2
GSN ITGB3
GSN CASP3
GSN CASP4
GSN CLIC5
ACSL4 ACSL3
ACSL4 CPT1A
PCGF3 CSNK2A1
PCGF3 CSNK2B
PCGF3 BCOR
PCGF3 CSNK2A2
PCGF3 RNF2
PCGF3 PHC2
PCGF3 RYBP
PCGF3 YAF2
PCGF3 CBX7
OCIAD1 PTK2
OCIAD1 CAMLG
OCIAD1 COX6C
OCIAD1 TIMMDC1
OCIAD1 FXYD6
OCIAD1 ASPH
INO80C ACTL6A
SELE JUN
SELE PLCG1
SELE PTPN11
SELE PTK2
SELE PXN
SELE ATF2
SELE TLN1
SELE GLG1
GABARAPL2 NBR1
GABARAPL2 NEDD4
GABARAPL2 RAP1A
GABARAPL2 RAP2A
GABARAPL2 PRKAR1A
GABARAPL2 ANXA2
GABARAPL2 PDCD6IP
GABARAPL2 EIF4G1
GABARAPL2 PSMA7
GABARAPL2 KHSRP
GABARAPL2 RAB7A
GABARAPL2 KEAP1
GABARAPL2 SQSTM1
GABARAPL2 IPO5
GABARAPL2 PFKP
GABARAPL2 NCOA7
GABARAPL2 KPNA6
GABARAPL2 RASSF1
GABARAPL2 HPRT1
GABARAPL2 RPL22
GABARAPL2 SIK2
GABARAPL2 TNIP1
GABARAPL2 DYNLL1
GABARAPL2 STK3
GABARAPL2 WDFY3
GABARAPL2 GABARAPL1
GABARAPL2 CALCOCO2
GABARAPL2 RCN2
GABARAPL2 TSR2
GABARAPL2 NASP
GABARAPL2 TBC1D15
GABARAPL2 P4HB
GABARAPL2 GOSR1
GABARAPL2 AAMP
GABARAPL2 RABGAP1
GABARAPL2 KLHL5
GABARAPL2 HACD3
GABARAPL2 PSMD1
GABARAPL2 BSDC1
FGF12 DACH1
FGF12 LZTS2
LSR KRAS
LSR YWHAG
LSR YWHAB
LSR YWHAH
LSR NRAS
C1orf21 PPP2R5A
TSC22D1 MCM3
TSC22D1 ELOC
TSC22D1 TSC22D1
TSC22D1 TLE1
TSC22D1 SEC61A1
TSC22D1 VIM
TSC22D1 CDK2
TSC22D1 IPO9
TSC22D1 HNRNPM
TSC22D1 KMT2C
TSC22D1 EHD4
TSC22D1 RPN2
TSC22D1 TOR1AIP2
TSC22D1 SPRED1
TSC22D1 PCBP1
TSC22D1 EMC8
TSC22D1 MYO1B
TSC22D1 NRBP1
TSC22D1 SLC3A2
TSC22D1 CARHSP1
TSC22D1 HACD3
TSC22D1 KRTCAP2
TSC22D1 USP9X
TSC22D1 HMGXB4
TSC22D1 UCK2
TSC22D1 CCDC59
TSC22D1 A2M
TSC22D1 PLEC
TSC22D1 TMEM135
TSC22D1 DDAH2
TSC22D1 MAGED2
TSC22D1 ARCN1
TSC22D1 DDB1
TSC22D1 DPM1
TSC22D1 GNB2
TSC22D1 DNAJB6
TSC22D1 SERPINH1
KAT6A CREBBP
KAT6A KMT2A
KAT6A MAFK
KAT6A EP300
KAT6A ATN1
KAT6A RERE
ARFRP1 SMAD4
ARFRP1 CYTH1
NDRG1 CTNNB1
NDRG1 MYC
NDRG1 DDX1
NDRG1 YWHAG
NDRG1 GSK3B
NDRG1 VCP
NDRG1 DDX5
NDRG1 EWSR1
NDRG1 HSPA5
NDRG1 NCL
NDRG1 ACTG1
NDRG1 HSP90AA1
NDRG1 LDHA
NDRG1 UPF1
NDRG1 PRKACA
NDRG1 PPP2R2A
NDRG1 PSMC3
NDRG1 ILF3
NDRG1 RPN2
NDRG1 KIF5B
NDRG1 PSMD2
NDRG1 ATP1A1
NDRG1 GSK3A
