CLPS PNLIP
TSG101 ROCK1
TSG101 PDLIM7
TSG101 HAUS1
TSG101 CBL
TSG101 BCAR1
TSG101 CRK
TSG101 EPHA2
TSG101 RAB7A
TSG101 CHMP5
TSG101 TNIP2
TSG101 USHBP1
TSG101 UBB
TSG101 FDPS
TSG101 SMARCC2
TSG101 CD2AP
TSG101 KIFC3
TSG101 LAP3
TSG101 DCTN2
TSG101 SCAMP3
TSG101 LNX1
TSG101 GOLM1
TSG101 TNIP1
TSG101 PPP1R13B
ATP1B3 RTN4
ATP1B3 CYB5B
ATP1B3 PTP4A3
ATP1B3 STOM
ATP1B3 SMAGP
KLF3 CTBP2
KLF3 LHX6
MYO18A JUN
MYO18A SMAD2
MYO18A MYL6
MYO18A CDC42BPA
MYO18A RNPS1
MYO18A MARK4
MYO18A MEF2C
MYO18A MYO18A
MYO18A CDC42BPB
MYO18A GOLPH3
SHISA5 SGTA
SHISA5 ARL6IP1
BICD1 STAT3
BICD1 HERC2
BICD1 PCM1
BICD1 RAB6A
BICD1 GSK3B
BICD1 DCTN1
BICD1 DCTN2
PRMT1 RELA
PRMT1 EP300
PRMT1 NCOA1
PRMT1 YWHAG
PRMT1 CHTOP
PRMT1 YY1
PRMT1 NCOA3
PRMT1 HABP4
PRMT1 NRIP1
PRMT1 STAT5A
PRMT1 KHDRBS1
PRMT1 DHX9
PRMT1 PRMT1
PRMT1 SUPT5H
PRMT1 IFNAR1
PRMT1 ILF3
PRMT1 HNRNPK
PRMT1 HNRNPR
PRMT1 SYNCRIP
PRMT1 TAF15
PRMT1 FUS
PRMT1 CNOT8
PRMT1 CDC37
PRMT1 EWSR1
PRMT1 FBXO7
PRMT1 UBAP2L
PRMT1 SMURF2
PRMT1 LSM14A
PRMT1 TRAF6
PRMT1 TUBB
PRMT1 TNFRSF14
PRMT1 MED31
PRMT1 RIF1
PRMT1 YLPM1
PRMT1 COIL
PRMT1 FGF2
PRMT1 FLII
PRMT1 TMBIM4
PRMT1 WDR33
PRMT1 CAPRIN1
PRMT1 QKI
PRMT1 KHDRBS3
PRMT1 HLA-C
PSMA1 LMO2
PSMA1 JUN
PSMA1 UBE3A
PSMA1 MYC
PSMA1 PSMA3
PSMA1 HSPA8
PSMA1 UBQLN1
PSMA1 MAPRE1
PSMA1 VCP
PSMA1 TCF12
PSMA1 HSPA5
PSMA1 TRAF6
PSMA1 NMI
PSMA1 PSMA7
PSMA1 VIM
PSMA1 TCF4
PSMA1 PSMD2
PSMA1 PAK2
PSMA1 PSMA6
PSMA1 ABI2
PSMA1 TFE3
PSMA1 HSPA1A
PSMA1 SH3GLB1
PSMA1 TNFAIP1
PSMA1 RBCK1
PSMA1 CDA
PSMA1 PSMC6
PSMA1 PSME2
PSMA1 HSPA2
PSMA1 PSMC5
PSMA1 IFT20
PSMA1 PSMD4
PSMA1 SEC16A
PSMA1 COIL
PSMA1 PSMC3
PSMA1 PSMC4
PSMA1 CCDC85B
PSMA1 MKNK2
PSMA1 EMSY
PSMA1 PSMB9
PSMA1 CALCOCO2
PSMA1 GABARAPL2
PSMA1 PSMC1
PSMA1 PSMD13
PSMA1 PSMC2
PSMA1 PSMD7
PSMA1 ADRM1
PSMA1 PSMB5
PSMA1 PSMA2
PSMA1 PSME1
PSMA1 TXNL1
PSMA1 PSMA4
PSMA1 PSMB2
PSMA1 PSMA1
PSMA1 PSMB8
PSMA1 POMP
PSMA1 PSMB1
PSMA1 PSMB3
PSMA1 PSMB4
PSMA1 PSMB6
PSMA1 PSMB7
PSMA1 PSMD11
PSMA1 PSMD12
PSMA1 PSMD1
PSMA1 PSMD3
PSMA1 PSMG4
PSMA1 PSMG2
PSMA1 TMOD3
PSMA1 MCC
PSMA1 LZTS2
PSMA1 HLA-B
PSMA1 ABI3
PSMA1 MIEF1
PSMA1 GSDMD
PSMA1 SLF2
PSMA1 CHMP1A
PSMA1 KHDRBS3
PSMA1 WTAP
PSMA1 DCTPP1
PSMA1 KAZN
HADHB MYC
HADHB MAP1LC3B
HADHB CDKN1A
HADHB NFKB2
HADHB APP
HADHB MAP1LC3A
HADHB SQSTM1
HADHB ATP1A1
HADHB GABARAPL1
HADHB GABARAPL2
HADHB ANXA7
HADHB ACAT1
PROCR APC
RTN4 TRAF6
RTN4 FYN
RTN4 SOCS2
RTN4 BCL2L1
RTN4 YAP1
RTN4 SNX1
RTN4 WWP1
RTN4 ARL6IP1
RTN4 CYB5R3
RTN4 ATL3
RTN4 MAP4K4
RTN4 HLA-DPB1
RTN4 RTN4
RTN4 ZFYVE21
CNTLN RFK
RAB13 SMAD4
RAB13 KRAS
RAB13 GDI1
RAB13 SMURF2
RAB13 RAB13
EPS8 MAP1LC3B
EPS8 ITGB1
EPS8 SHC1
EPS8 ITGB3
EPS8 CBL
EPS8 SOS1
EPS8 HNRNPC
EPS8 DVL1
EPS8 PCM1
EPS8 BAIAP2
EPS8 SMARCE1
EPS8 EPS8
EPS8 SHB
EPS8 BAIAP2L1
EPS8 ITGB5
EPS8 C8orf33
EPS8 RUNX1T1
EPS8 CCDC85B
EPS8 SRGN
FRMD3 NRM
FRMD3 CYB5B
ZNF598 DBN1
ZNF598 UBE2D3
ZNF598 CDA
ZNF598 GIGYF2
ZNF598 ZNF598
SH3BP5 MAPK8
SH3BP5 SOS1
SH3BP5 IFT20
SH3BP5 EXOC1
SH3BP5 MAPK12
PSME1 PSMA3
PSME1 PIK3R3
PSME1 PSMA7
PSME1 VIM
PSME1 VCL
PSME1 PSMD2
PSME1 PSMA6
PSME1 USP22
PSME1 CDC37
PSME1 PSMC6
PSME1 PSME2
PSME1 PSMC5
PSME1 PSMD4
PSME1 PSMC3
PSME1 PSMC4
PSME1 PSMB9
PSME1 PSMC1
PSME1 PSMD13
PSME1 PSMC2
PSME1 PSMD7
PSME1 PSMA2
PSME1 PSMD11
PSME1 PSMD12
PSME1 PSMD1
PSME1 PSMD3
PSME1 PSMB1
PSME1 PSMB7
PSME1 PSMA4
PSME1 PSMB2
PSME1 PSMB3
PSME1 PSMB4
PSME1 PSMB5
PSME1 PSMB6
PSME1 PFDN1
PSME1 FBXO7
PSME1 PSME1
PSME1 TUBB4B
CAPZA2 APC
CAPZA2 DCTN1
CAPZA2 RBBP6
CAPZA2 CD2AP
CAPZA2 ARHGAP17
CAPZA2 DCTN2
CAPZA2 ACTR2
CAPZA2 SVIL
CAPZA2 CAPZB
CAPZA2 ACTR1A
CAPZA2 KIAA1671
CAPZA2 DCTN6
CAPZA2 MYO5C
CAPZA2 MPP5
PEF1 UBC
PEF1 HGS
PEF1 EWSR1
PEF1 PDCD6IP
PEF1 TFG
PEF1 BAG3
PEF1 EIF4G1
PEF1 VPS37C
PEF1 FAM168A
PEF1 CALCOCO2
PEF1 ANKRD10
PEF1 PEF1
NES CDK9
NES CDK6
NES CDK2
NES VIM
PSMB6 UBE3A
PSMB6 PSMA3
PSMB6 HSPA8
PSMB6 HSPA5
PSMB6 TRAF6
PSMB6 PSMA7
PSMB6 PSMD2
PSMB6 PSMA6
PSMB6 HSPA1A
PSMB6 PSMC6
PSMB6 PSME2
PSMB6 HSPA2
PSMB6 PSMC5
PSMB6 PSMD4
PSMB6 PSMC3
PSMB6 PSMC4
PSMB6 PSMB9
PSMB6 PSMC1
PSMB6 PSMD13
PSMB6 PSMC2
PSMB6 PSMD7
PSMB6 ADRM1
PSMB6 PSMA2
PSMB6 PSMD11
PSMB6 PSMD12
PSMB6 PSMD1
PSMB6 PSMD3
PSMB6 PSMB1
PSMB6 PSMB7
PSMB6 PSMA4
PSMB6 PSMB2
PSMB6 PSMB3
PSMB6 PSMB4
PSMB6 PSMB5
PSMB6 FBXO7
PSMB6 POMP
PSMB6 PSMB8
PSMB6 HLA-B
SRP14 MYC
SRP14 LUC7L2
SRP14 NAP1L1
SRP14 ILF2
SRP14 NOLC1
SRP14 NCL
SRP14 DHX9
SRP14 YBX1
SRP14 TOP1
SRP14 HNRNPM
SRP14 ILF3
SRP14 MYBBP1A
SRP14 RPL22
SRP14 DDX21
SRP14 U2AF2
SRP14 RPL26
SRP14 RPS17
SRP14 SNU13
SRP14 BRIX1
SRP14 PWP1
SRP14 NSFL1C
SRP14 SRP9
SRP14 RPL36A
SRP14 SCYL2
SRP14 HLA-B
SOS2 PLCG1
SOS2 SHC1
SOS2 FYN
SOS2 CRK
SOS2 RAPGEF1
SOS2 NCK1
SOS2 PLCG2
SOS2 MYO6
SOS2 CD2AP
SOS2 SNX9
SOS2 TAF1
SOS2 SH3D19
SOS2 RXRB
MAP3K8 AKT1
MAP3K8 RELA
MAP3K8 NFKB1
MAP3K8 NFKB2
MAP3K8 HSPA8
MAP3K8 CREB1
MAP3K8 CLTC
MAP3K8 HSPA5
MAP3K8 TRAF6
MAP3K8 NFKBIA
MAP3K8 TNIP2
MAP3K8 TUBB
MAP3K8 EIF4G1
MAP3K8 HSP90AA1
