NDUFA6 MT-ND4L
NDUFA6 NDUFB7
NDUFA6 UQCRFS1
NDUFA6 NDUFV3
NDUFA6 ATP5MF
NDUFA6 MT-CYB
NDUFA6 NDUFA4
NDUFA6 NDUFB6
NDUFA6 NDUFS6
NDUFA6 NDUFS2
NDUFA6 UQCRC1
NDUFA6 NDUFS8
NDUFA6 UQCR11
NDUFA6 NDUFA10
NDUFA6 PHLDA3
NDUFA6 NDUFV2
NDUFA6 NDUFB8
NDUFA6 NDUFA1
NDUFA6 NDUFC1
NDUFA6 NDUFB4
NDUFA6 NDUFB1
NDUFA6 NDUFV1
NDUFA6 NDUFB2
NDUFA6 NDUFA11
CCNL2 POLR2A
CCNL2 DYRK1A
CCNL2 CDK11B
CCNL2 SRSF7
CCNL2 RNPS1
CCNL2 SRSF2
ZNF428 BANF1
GBP2 CSNK2B
GBP2 TFG
GBP2 MAGI1
GBP2 GADD45A
GBP2 BID
GBP2 BNIP3L
GBP2 SAT1
GBP2 SRPK1
GBP2 LSM2
GBP2 PAFAH1B3
GBP2 HSPE1
PLOD1 PDIA3
PLOD1 HNRNPA1
PLOD1 PLOD1
HRAS MAPK8
HRAS ITGB1
HRAS RALGDS
HRAS CDC42
HRAS AFDN
HRAS DLG1
HRAS RAF1
HRAS LGALS1
HRAS SNRPE
HRAS BAIAP2
HRAS SLC12A2
HRAS NECTIN2
HRAS F11R
HRAS LSR
HRAS STX3
HRAS MARK3
HRAS STEAP3
HRAS VAMP8
HRAS MPZL1
HRAS BSG
HRAS ATP2B4
HRAS SLC3A2
HRAS SLC30A1
HRAS MARCKSL1
HRAS PHACTR4
HRAS TFRC
HRAS PKP4
HRAS RALA
HRAS YES1
HRAS SLC7A5
HRAS MARCKS
HRAS HLA-A
HRAS ATP1A1
HRAS EPHA2
HRAS RAB6A
HRAS SLC7A11
HRAS CD276
HRAS CHCHD3
HRAS LAMTOR1
HRAS OCLN
HRAS NDUFAF2
HRAS CDC42EP4
HRAS FLOT1
HRAS HRAS
HRAS RABAC1
HRAS PLAU
HRAS PDGFB
HRAS BRAP
HRAS FNTA
HRAS RHEB
HRAS RHOD
HRAS TTC1
HRAS ABL2
MRPL4 HSPD1
MRPL4 DDX24
MRPL4 MRPS18B
MRPL4 MRPL37
MRPL4 MRPS23
MRPL4 MRPL3
MRPL4 DAP3
MRPL4 MRPL1
MRPL4 MRPS5
MRPL4 MRPS7
MRPL4 MRPL15
MRPL4 MRPL58
MRPL4 MRPS35
MRPL4 MRPL11
MRPL4 MRPS2
MRPL4 MRPL12
MRPL4 MRPL27
MRPL4 MRPS11
MRPL4 MRPS16
MRPL4 MRPS34
MRPL4 MRPS26
MRPL4 MRPS10
MRPL4 MRPS14
MRPL4 MRPS33
MRPL4 MRPL40
MRPL4 MRPL18
MRPL4 MRPL23
MRPL4 MRPL24
MRPL4 MRPL2
MRPL4 MRPL14
MRPL4 MRPL9
MRPL4 MRPL20
MRPL4 MRPL51
MRPL4 MRPL52
MRPL4 MRPS21
MRPL4 MRPS15
MRPL4 MRPL19
MRPL4 MRPS28
MRPL4 MRPL22
MRPL4 MRPL35
MRPL4 MRPL32
MRPL4 MRPS30
MRPL4 MRPL36
MRPL4 MRPL42
MRPL4 MRPL54
MRPL4 MRPL34
MRPL4 MRPL21
MRPL4 MRPL39
MRPL4 MRPS6
MRPL4 MRPL17
MRPL4 MRPL55
MRPL4 MRPL47
MRPL4 MRPS36
MRPL4 MRPL28
MRPL4 MRPL33
MRPL4 MRPS18A
MRPL4 MRPS18C
MRPL4 MRPL13
MRPL4 MRPS24
MRPL4 MRPL41
MRPL4 MRPS17
MRPL4 MRPL48
MRPL4 MRPL43
CANX SUMO1
CANX CSNK2A1
CANX PDIA3
CANX HSP90B1
CANX ITGB1
CANX CALR
CANX BCAP31
CANX LRRC59
CANX VCP
CANX COPB2
CANX EMC8
CANX UQCRC2
CANX PPP2R1A
CANX VDAC2
CANX VDAC1
CANX PHB
CANX NDRG1
CANX UBXN4
CANX LMAN1
CANX TOR1A
CANX RPN2
CANX PGRMC1
CANX STAU1
CANX DDOST
CANX RPN1
CANX TECR
CANX CYC1
CANX MT-CO2
CANX TAP1
CANX CANX
CANX HMOX2
CANX TOR1AIP2
CANX ATP5PB
CANX BSG
CANX ATP5F1C
CANX STT3A
CANX SLC12A2
CANX CKAP4
CANX EMC4
CANX CHP1
CANX VAPA
CANX RRBP1
CANX HYOU1
CANX SRPRB
CANX RPL7
CANX MAPK13
CANX SSR1
CANX SERPINA1
CANX PRDX4
CANX SLC2A1
CANX CD9
CANX PRKCSH
CANX SMURF2
CANX PRAF2
TSG101 MDM2
TSG101 TP53
TSG101 JUN
TSG101 NDUFA13
TSG101 CDKN1A
TSG101 GGA1
TSG101 UBC
TSG101 HGS
TSG101 VCP
TSG101 VPS28
TSG101 VPS37B
TSG101 BCR
TSG101 MGRN1
TSG101 MVB12A
TSG101 SNF8
TSG101 TSG101
TSG101 TFG
TSG101 AKAP9
TSG101 UBAP1
TSG101 XPO1
TSG101 TAX1BP1
TSG101 PDLIM7
TSG101 BCAR1
TSG101 EPHA2
TSG101 RAB7A
TSG101 CHMP5
TSG101 PROM1
TSG101 PIGQ
TSG101 UBB
TSG101 FDPS
TSG101 POLD2
TSG101 ENO1
TSG101 UBA52
TSG101 NELFCD
TSG101 RPS27A
TSG101 CD2AP
TSG101 KRT18
TSG101 KIFC3
TSG101 TOM1L1
TSG101 COPE
TSG101 THOC7
TSG101 DCTN2
TSG101 ATP5PB
TSG101 SH2D3A
TSG101 PDCD6
TSG101 COPS6
TSG101 RNF126
TSG101 CCHCR1
TSG101 GOLM1
TSG101 TNIP1
TSG101 WASHC1
TSG101 PPP1R13B
TSG101 CBY1
TSG101 SNAPIN
TSG101 LCN2
ATP1B3 RTN4
ATP1B3 CYB5B
ATP1B3 TMEM98
KLF3 CTBP2
KLF3 CTBP1
SHISA5 COPS5
SHISA5 SGTA
SHISA5 ARL6IP1
SHISA5 SCAND1
SHISA5 TVP23B
BICD1 STAT3
BICD1 PCM1
BICD1 RAB6A
BICD1 AP1G1
BICD1 DYNC1I1
BICD1 DCTN2
PTGS2 TP53
PTGS2 COPS5
PTGS2 PTGS2
PTGS2 ELAVL1
PTGS2 USP22
PTGS2 NELFCD
PTGS2 PTGES2
PRMT1 TP53
PRMT1 RELA
PRMT1 RUNX1
PRMT1 SIRT1
PRMT1 STAT1
PRMT1 ESR1
PRMT1 YWHAG
PRMT1 CHTOP
PRMT1 YY1
PRMT1 HNRNPU
PRMT1 CARM1
PRMT1 HNRNPA1
PRMT1 NRIP1
PRMT1 KHDRBS1
PRMT1 DHX9
PRMT1 PRMT1
PRMT1 SUPT5H
PRMT1 ILF3
PRMT1 HNRNPK
PRMT1 BTG2
PRMT1 HNRNPR
PRMT1 SYNCRIP
PRMT1 FUS
PRMT1 CDC37
PRMT1 EWSR1
PRMT1 SPSB1
PRMT1 FBXO7
PRMT1 SMURF2
PRMT1 TUBB
PRMT1 TUBA1A
PRMT1 PSPH
PRMT1 MED31
PRMT1 RIF1
PRMT1 FTSJ1
PRMT1 COIL
PRMT1 MBP
PRMT1 ARPC3
PRMT1 C1QBP
PRMT1 TMBIM4
PRMT1 IDH3B
PRMT1 CAPRIN1
PRMT1 KHDRBS3
PRMT1 TERF1
PRMT1 HMGA2
PRMT1 HLA-C
PSMA1 AGR2
PSMA1 JUN
PSMA1 PSME3
PSMA1 MYC
PSMA1 PSMA3
PSMA1 HSPA8
PSMA1 MAPRE1
PSMA1 VCP
PSMA1 KCTD1
PSMA1 REL
PSMA1 HSPA5
PSMA1 GOLGA2
PSMA1 NMI
PSMA1 RFC2
PSMA1 PSMA7
PSMA1 VIM
PSMA1 PSMD2
PSMA1 PSMA6
PSMA1 KRT19
PSMA1 HOOK2
PSMA1 HSPA1A
PSMA1 CEP70
PSMA1 TNFAIP1
PSMA1 RBCK1
PSMA1 DCTD
PSMA1 PSMC6
PSMA1 PSME2
PSMA1 PSMD14
PSMA1 HSPA2
PSMA1 PSMC5
PSMA1 IFT20
PSMA1 PSMD4
PSMA1 EIF4A3
PSMA1 COIL
PSMA1 PSMC3
PSMA1 PSMC4
PSMA1 HOMER3
PSMA1 SAT1
PSMA1 MKNK2
PSMA1 ATG5
PSMA1 PSMC1
PSMA1 PSMD13
PSMA1 PSMD6
PSMA1 PSMC2
PSMA1 PSMD7
PSMA1 ADRM1
PSMA1 PSMB5
PSMA1 PSMA2
PSMA1 PSME1
PSMA1 TXNL1
PSMA1 PSMA4
PSMA1 PSMB2
PSMA1 PSMA1
PSMA1 PSMA5
PSMA1 PSMB8
PSMA1 POMP
PSMA1 PSMB1
PSMA1 PSMB3
PSMA1 PSMB4
PSMA1 PSMB6
PSMA1 PSMB7
PSMA1 PSMD11
PSMA1 PSMD12
PSMA1 PSMD1
PSMA1 PSMD8
PSMA1 PSMD3
PSMA1 PSMG3
PSMA1 PSME4
PSMA1 PSMG1
PSMA1 TMOD3
PSMA1 FTSJ1
PSMA1 C11orf49
PSMA1 HLA-B
PSMA1 POLR1C
PSMA1 GSDMD
PSMA1 YPEL5
PSMA1 SPDEF
PSMA1 CHMP1A
PSMA1 KHDRBS3
PSMA1 DYNLT1
PSMA1 WTAP
PSMA1 PCBD1
PSMA1 NAB2
PSMA1 DCTPP1
RTN4 NR4A1
RTN4 PRKAB1
RTN4 BCL2L1
RTN4 YAP1
RTN4 DERL2
RTN4 RTN3
RTN4 ARL6IP1
RTN4 MAP4K4
RTN4 NME2
RTN4 UQCRC2
RTN4 MBP
