CDK14 BMPR1B
AHCY APPBP2
AHCY TRAF6
AHCY ANKRD40
AHCY EIF1B
AHCY AHCY
FANK1 LZTR1
LHX1 KANK2
LHX1 OTX2
ZNF483 ZNF24
ZNF483 CRX
VDAC1 NDUFS1
VDAC1 GAPDH
VDAC1 CSNK2B
VDAC1 MAPK3
VDAC1 TRAF6
VDAC1 ENO1
VDAC1 YBX1
VDAC1 RPSA
VDAC1 HSP90AA1
VDAC1 RPS7
VDAC1 VIM
VDAC1 TTN
VDAC1 TUBA1A
VDAC1 KIF5B
VDAC1 HK1
VDAC1 ATP5F1C
VDAC1 MT-CO2
VDAC1 ATP5F1A
VDAC1 HSPA9
VDAC1 RPS3A
VDAC1 MYL6
VDAC1 RPL22
VDAC1 RAN
VDAC1 RPS10
VDAC1 EIF6
VDAC1 GABARAPL2
VDAC1 RAB2A
VDAC1 VDAC2
VDAC1 VDAC3
VDAC1 ATP5PO
VDAC1 NDUFA8
VDAC1 ATP6V1A
VDAC1 COX4I1
VDAC1 CYC1
VDAC1 SLC25A4
VDAC1 SFXN1
VDAC1 NDUFA5
VDAC1 PDHA1
VDAC1 EIF4A2
VDAC1 TNPO1
VDAC1 CYCS
VDAC1 VDAC1
VDAC1 NUDC
VDAC1 DYNLT3
VDAC1 ACAT2
VDAC1 CKMT1A
VDAC1 CKMT1B
RBM10 FBL
RBM10 YBX1
RBM10 RPL3
RBM10 RUVBL1
RBM10 ATN1
RBM10 PHB2
RBM10 ATP5F1C
RBM10 PTBP2
RBM10 SNRPC
RBM10 U2SURP
RBM10 RBM10
RBM10 IK
RBM10 DHX38
RBM10 RPS5
RBM10 DHX30
RBM10 AGO4
RBM10 RPS3A
RBM10 NDUFA4
RBM10 CMSS1
RBM10 RPL38
RBM10 RPL26
RBM10 IPO9
RBM10 HSPA9
RBM10 ATP1A3
RBM10 C1QBP
RBM10 RPL27A
RBM10 CLNS1A
RBM10 SNU13
RBM10 PATZ1
CAPZA2 APC
CAPZA2 DCTN2
CAPZA2 KIAA1671
CAPZA2 MTCL1
CAPZA2 WASHC5
CAPZA2 DCTN3
CAPZA2 DCTN5
CAPZA2 DCTN6
CAPZA2 MYO5A
CAPZA2 S100A1
DSCAML1 MAGI2
NDUFS1 NDUFB9
NDUFS1 ATP5F1C
NDUFS1 NDUFA9
NDUFS1 NDUFS2
NDUFS1 NDUFV2
NDUFS1 NDUFS7
NDUFS1 NDUFV1
NDUFS1 NDUFS8
NDUFS1 NDUFA12
NDUFS1 NDUFB5
NDUFS1 NDUFB10
NDUFS1 NDUFA8
NDUFS1 MT-CO2
NDUFS1 NDUFS5
NDUFS1 NDUFS6
NDUFS1 COX4I1
NDUFS1 CYC1
NDUFS1 NDUFA1
NDUFS1 NDUFB4
NDUFS1 NDUFA3
NDUFS1 UQCRQ
NDUFS1 NDUFA13
NDUFS1 NDUFA4
NDUFS1 UQCRB
NDUFS1 NDUFB3
NDUFS1 MT-ND4L
NDUFS1 UQCR10
NDUFS1 UQCRFS1
NDUFS1 NDUFB6
NDUFS1 NDUFA10
NDUFS1 NDUFC1
NDUFS1 NDUFA2
NDUFS1 UQCR11
NDUFS1 NDUFB11
NDUFS1 NDUFC2
NDUFS1 UQCRH
NDUFS1 NDUFB8
NDUFS1 NDUFA5
NDUFS1 MT-CYB
NDUFS1 NDUFB2
NDUFS1 NDUFA11
NDUFS1 NDUFB7
NDUFS1 UQCRC1
NDUFS1 NDUFV3
NDUFS1 NDUFB1
NDUFS1 MDH2
NDUFS1 NDUFA7
PSMB6 FBL
PSMB6 TRAF6
PSMB6 PSMD14
PSMB6 PSMC5
PSMB6 PSMC3
PSMB6 PSMC1
PSMB6 PSMD13
PSMB6 PSMA2
PSMB6 PSMD12
PSMB6 PSMB3
PSMB6 PSMB5
PSMB6 POMP
SRP14 TCOF1
SRP14 FBL
SRP14 YBX1
SRP14 RPL3
SRP14 RPS7
SRP14 HNRNPM
SRP14 TUBA1A
SRP14 ILF3
SRP14 RPS3A
SRP14 RPL9
SRP14 RPL22
SRP14 RPL37A
SRP14 RPL26
SRP14 RPS17
SRP14 SNU13
SRP14 RPL27A
SRP14 PWP1
SRP14 RPS29
SRP14 RBM28
SRP14 EIF1B
SRP14 RPS15
SRP14 SRP9
SRP14 RPL36A
SRP14 C18orf32
CCDC14 PCM1
CCDC14 CEP63
CCDC14 RNF8
CCDC14 DDX6
CCDC14 PIBF1
CCDC14 CEP135
PSMG1 PSMA2
PSMG1 POMP
PSMG1 PSMG1
MPDZ MPDZ
MPDZ RNF5
MPDZ CLDN1
MPDZ AMOTL1
TUBB2B MAP3K7
TUBB2B HDAC6
TUBB2B CSNK2B
TUBB2B TRAF6
TUBB2B C8orf33
TUBB2B CACNA1A
TUBB2B PAFAH1B3
ATP5MF TRAF6
ATP5MF ATP5F1C
ATP5MF ATP5F1A
ATP5MF ATP5IF1
ATP5MF ATP5PO
ATP5MF ATP5F1E
ATP5MF ATP5MC1
ATP5MF MT-ATP8
ATP5MF ATP5PF
ATP5MF ATP5MG
ATP5MF ATP5ME
ATP5MF ZFPL1
CRMP1 HGS
CRMP1 TSC22D1
CRMP1 ZNF24
CRMP1 EPN1
CRMP1 VIM
CRMP1 FXR1
CRMP1 FTH1
CRMP1 DNAJB11
CRMP1 DPYSL2
CRMP1 CRMP1
CRMP1 DPYSL3
CRMP1 SNRPG
CRMP1 SEPHS1
CRMP1 HNRNPH3
CRMP1 PAFAH1B3
CRMP1 CCDC106
CRMP1 NDUFV2
CRMP1 YAE1
CRMP1 PMF1
CRMP1 HDHD2
CRMP1 BTBD2
CRMP1 RGL2
RUNDC3A USP2
RUNDC3A AP2M1
RUNDC3A TFPT
RUNDC3A ZNF587
RUNDC3A FAM161A
RUNDC3A MRPL15
RUNDC3A SYT17
RUNDC3A DDX6
RUNDC3A ZNF821
AMPH PTK2
AMPH AP2B1
AMPH SYN1
AMPH SYNM
AMPH AP2A1
AMPH AP2A2
AMPH ARL16
AMPH MAPK6
AMPH SH3GL2
AMPH AMPH
SNPH XPA
SNPH STUB1
ARHGAP32 ATXN1
ARHGAP32 PTK2
ARHGAP32 LHX2
ARHGAP32 PIK3R1
ARHGAP32 GAB1
ARHGAP32 DLG4
ARHGAP32 CDH2
ARHGAP32 ABI2
ARHGAP32 SHC3
ARHGAP32 NF2
ARHGAP32 MEGF10
NKD2 DVL1
NKD2 RCHY1
SEPHS1 UNC119
SEPHS1 ZBTB25
SEPHS1 SEPHS1
SEPHS1 WDR12
SEPHS1 EIF1B
SEPHS1 SCLY
SEPHS1 IGSF21
SEPHS1 PLAGL2
SEPHS1 ZNF202
RAB11FIP2 YWHAG
RAB11FIP2 PGK1
RAB11FIP2 YWHAE
RAB11FIP2 REPS1
RAB11FIP2 AP2A1
RAB11FIP2 RAB11A
RAB11FIP2 MYO5B
RAB11FIP2 RAB11FIP2
RAB11FIP2 RAB11B
RAB11FIP2 PIBF1
RAB11FIP2 FBXO17
RAB11FIP2 KANK2
RAB11FIP2 HSF2BP
PSMC1 PIAS3
PSMC1 TRAF6
PSMC1 SEM1
PSMC1 SUV39H1
PSMC1 PSMD14
PSMC1 PSMC5
PSMC1 FKBP8
PSMC1 PSMC3
PSMC1 CCDC85B
PSMC1 PSMB5
PSMC1 PAAF1
PSMC1 PSMD13
PSMC1 PSMA2
PSMC1 PSMD12
PSMC1 PSMB3
PSMC1 PSMC1
PREX2 HUWE1
MLF2 PRKAA2
MLF2 STUB1
MLF2 AIFM1
MLF2 DNAJB6
MLF2 BAG2
MLF2 STIP1
MLF2 ABCD3
MLF2 PMVK
BAD SUMO2
BAD YWHAG
BAD YWHAQ
BAD YWHAE
BAD PRKACB
BAD BNIP3L
BAD PAK5
BAD RPS6KA2
PIN1 NCOR2
PIN1 TSC22D4
PIN1 RAI1
PIN1 MAPT
PIN1 MYT1
PIN1 ADARB1
PIN1 PKM
PIN1 ABI2
PIN1 MTUS2
PIN1 SSBP3
PIN1 ANKRD40
PIN1 HEXIM2
PIN1 CCDC184
PIN1 ATCAY
PIN1 EIF1B
PIN1 TRAF6
PIN1 PRKACB
PIN1 UBB
PIN1 TCF4
PIN1 BAG6
PIN1 DEAF1
PIN1 JAKMIP2
PIN1 KIF5A
PIN1 CSNK2B
PIN1 GGA2
PIN1 RAB4A
PIN1 LRIF1
PIN1 PTOV1
PIN1 UNC119
PIN1 SSBP2
PIN1 DYNC1I1
PIN1 TRMT2A
PIN1 GPAA1
PIN1 APLP1
PIN1 PAX6
PIN1 TOX3
PIN1 TFPT
PIN1 CCDC6
PIN1 ATN1
PIN1 BRD8
PIN1 PLAGL2
PIN1 AJUBA
PIN1 FRS2
PIN1 ZNF449
PIN1 NELFA
TTC32 MAGED1
TTC32 TXN2
TTC32 TRIM39
PARD6A PRKCZ
PARD6A PARD3
PARD6A RNF146
PARD6A PARD6A
PARD6A PIH1D1
PARD6A MARK4
PARD6A SMURF2
PARD6A PDRG1
MRPL54 MRPS18B
MRPL54 MRPS23
MRPL54 DAP3
MRPL54 MRPS5
MRPL54 MRPL44
MRPL54 MRPL15
MRPL54 MRPS35
MRPL54 MRPL27
MRPL54 MRPS34
MRPL54 MRPS33
MRPL54 MRPL40
MRPL54 MRPL41
MRPL54 MRPL49
MRPL54 MRPS25
MRPL54 MRPL22
MRPL54 MRPS28
MRPL54 MRPL51
MRPL54 MRPL23
MRPL54 MRPS6
MRPL54 MRPL14
MRPL54 MRPL20
MRPL54 MRPL43
MRPL54 MRPL33
MRPL54 MRPL35
MRPL54 MRPL34
MRPL54 MRPL21
MRPL54 MRPS36
MRPL54 MRPL36
RORA COPS5
RORA PROX1
RORA PSMC5
RORA DCAF1
RORA DDB1
RORA RUVBL1
