EBAG9 TMEM107
MRPL4 MRPS31
MRPL4 HSPD1
MRPL4 DDX24
MRPL4 MRPS22
MRPL4 MRPL37
MRPL4 MRPS23
MRPL4 MRPL3
MRPL4 DAP3
MRPL4 MRPL1
MRPL4 MRPS7
MRPL4 MRPL44
MRPL4 MRPS9
MRPL4 MRPL15
MRPL4 MRPL58
MRPL4 MRPS35
MRPL4 MRPL11
MRPL4 MRPS2
MRPL4 MRPL12
MRPL4 MRPL50
MRPL4 MRPL27
MRPL4 MRPS11
MRPL4 MRPS16
MRPL4 MRPS34
MRPL4 MRPS26
MRPL4 MRPS14
MRPL4 MRPS33
MRPL4 MRPL45
MRPL4 MRPL40
MRPL4 MRPS12
MRPL4 MRPL18
MRPL4 MRPL23
MRPL4 MRPL24
MRPL4 MRPL2
MRPL4 MRPL14
MRPL4 MRPL9
MRPL4 MRPL20
MRPL4 MRPL51
MRPL4 MRPL52
MRPL4 MRPS21
MRPL4 MRPS15
MRPL4 MRPL19
MRPL4 MRPS28
MRPL4 MRPL22
MRPL4 MRPL35
MRPL4 MRPL16
MRPL4 MRPL32
MRPL4 MRPL36
MRPL4 MRPL42
MRPL4 MRPL54
MRPL4 MRPL34
MRPL4 MRPL21
MRPL4 MRPL39
MRPL4 MRPS6
MRPL4 MRPL17
MRPL4 MRPS25
MRPL4 MRPL55
MRPL4 MRPL47
MRPL4 MRPS36
MRPL4 MRPL33
MRPL4 MRPS18A
MRPL4 MRPS18C
MRPL4 MRPL41
MRPL4 MRPS17
MRPL4 MRPL48
MRPL4 MRPL43
TSG101 TP53
TSG101 RNF111
TSG101 AR
TSG101 NDUFA13
TSG101 VPS28
TSG101 MVB12A
TSG101 ARRDC1
TSG101 SNF8
TSG101 TSG101
TSG101 EIF4B
TSG101 TFG
TSG101 ALG2
TSG101 CHMP5
TSG101 IMMT
TSG101 UBB
TSG101 FDPS
TSG101 POLD2
TSG101 ENO1
TSG101 UBA52
TSG101 RPS27A
TSG101 CD2AP
TSG101 RNF41
TSG101 KRT18
TSG101 LAP3
TSG101 TOM1L1
TSG101 COPE
TSG101 THOC7
TSG101 PPFIBP2
TSG101 NT5DC2
TSG101 FTL
TSG101 EIF3L
TSG101 KRT13
TSG101 GMCL1
TSG101 ATP5PB
TSG101 SH2D3A
TSG101 PDCD6
TSG101 COPS6
TSG101 LNX1
TSG101 TFIP11
TSG101 TNIP1
TSG101 CEP63
TSG101 PPP1R13B
TSG101 FAM110A
TSG101 BRPF3
TSG101 LCN2
NOP53 TP53
NOP53 CSNK2A1
NOP53 NF2
NOP53 CEP70
NOP53 EIF6
NOP53 GTPBP4
NOP53 NOP53
OBSCN CALM2
OBSCN CALM1
PTGS2 TP53
PTGS2 COPS5
PTGS2 COPS7A
PTGS2 PTGS2
PTGS2 PTGES
PTGS2 PTGES2
PTGS2 CYP4F8
PRMT1 TP53
PRMT1 AR
PRMT1 YY1
PRMT1 HNRNPA1
PRMT1 FBL
PRMT1 PRMT1
PRMT1 HNRNPR
PRMT1 CIRBP
PRMT1 TERF2
PRMT1 CDC37
PRMT1 RNF187
PRMT1 EIF1B
PRMT1 FTSJ1
PRMT1 ARPC3
PRMT1 C1QBP
PRMT1 LRIF1
PRMT1 IDH3B
PRMT1 TERF1
CSTF2 KAT5
CSTF2 ECH1
CSTF2 SUB1
CSTF2 CTBP2
CSTF2 TFG
CSTF2 CSTF3
CSTF2 CDC73
CSTF2 EIF4B
CSTF2 SSU72
CSTF2 IMMT
CSTF2 PCSK4
CSTF2 AKAP8L
CSTF2 ABHD11
CSTF2 HDHD3
CSTF2 RFX6
PSMA1 AGR2
PSMA1 PSMA3
PSMA1 KCTD1
PSMA1 GOLGA2
PSMA1 LDOC1
PSMA1 RFC2
PSMA1 PSMA7
PSMA1 TRIM27
PSMA1 PSMD2
PSMA1 PSMA6
PSMA1 KRT19
PSMA1 MRFAP1L1
PSMA1 KRT13
PSMA1 TFE3
PSMA1 UCHL5
PSMA1 HOOK2
PSMA1 CEP70
PSMA1 SH3GLB1
PSMA1 TNFAIP1
PSMA1 MPG
PSMA1 RBCK1
PSMA1 KCTD6
PSMA1 PSME2
PSMA1 HEXIM2
PSMA1 PSMD14
PSMA1 PSMC5
PSMA1 IFT20
PSMA1 PSMD4
PSMA1 FKBP8
PSMA1 PSMC3
PSMA1 PSMC4
PSMA1 CCDC85B
PSMA1 CINP
PSMA1 CALCOCO2
PSMA1 GABARAPL2
PSMA1 PSMD13
PSMA1 PSMD7
PSMA1 ADRM1
PSMA1 PSMB5
PSMA1 PSMA2
PSMA1 PSME1
PSMA1 TXNL1
PSMA1 PSMA4
PSMA1 PSMB2
PSMA1 PSMA1
PSMA1 PSMB10
PSMA1 POMP
PSMA1 PSMB1
PSMA1 PSMB3
PSMA1 PSMB4
PSMA1 PSMB6
PSMA1 PSMB7
PSMA1 PSMD12
PSMA1 PSMD8
PSMA1 PSMG3
PSMA1 PSMG4
PSMA1 PSMG2
PSMA1 TMOD3
PSMA1 PPCDC
PSMA1 TUBA4A
PSMA1 DLEU1
PSMA1 FTSJ1
PSMA1 APIP
PSMA1 C11orf49
PSMA1 ACTR6
PSMA1 BLZF1
PSMA1 POLR1C
PSMA1 DYNLT1
PSMA1 PCBD1
PSMA1 DCTPP1
PSMA1 PCYT2
PSMA1 C22orf39
CCDC57 TRIM27
CCDC57 EIF3D
CCDC57 TFPT
CCDC57 CCDC120
CCDC57 PRPF31
CCDC57 TMEM100
CCDC57 LENG1
CCDC57 MFAP1
CCDC57 CCDC57
CCDC57 ZMAT2
CCDC57 NAPRT
CCDC57 HBA2
CCDC57 FH
CCDC57 ABLIM1
CCDC57 TFIP11
CCDC57 NME4
CCDC57 YJU2
CCDC57 RASD1
CCDC57 ZNF436
CCDC57 RBM48
CCDC57 BEX2
CCDC57 RINT1
CCDC57 BCAR3
CCDC57 PSMB4
CCDC57 FAM107A
CCDC57 MT1E
CCDC57 ZBTB4
CCDC57 TSEN54
CCDC57 SNRNP35
POC1A CCT2
POC1A CCT5
POC1A CCT3
POC1A CCT4
POC1A CCT7
POC1A CCT8
POC1A TXNDC9
AURKAIP1 MRPS31
AURKAIP1 DAP3
AURKAIP1 MRPS7
AURKAIP1 MRPS9
AURKAIP1 MRPS35
AURKAIP1 MRPS2
AURKAIP1 MRPS11
AURKAIP1 MRPL45
AURKAIP1 MRPS21
AURKAIP1 MRPS18C
AURKAIP1 MRPS33
AURKAIP1 AURKAIP1
FRMD3 ZFPL1
FRMD3 SERP1
TGFBRAP1 SMAD2
TGFBRAP1 BMPR1A
AHCY AGR2
AHCY YWHAZ
AHCY BCAR3
AHCY EIF1B
AHCY MAPK13
AHCY AHCY
SH3BP5 MAPK8
SH3BP5 TNKS
SH3BP5 IFT20
SH3BP5 EXOC1
VDAC1 RPL11
VDAC1 NPM1
VDAC1 EIF3K
VDAC1 GAPDH
VDAC1 RPS9
VDAC1 HSP90B1
VDAC1 HSPD1
VDAC1 CSNK2B
VDAC1 BCL2
VDAC1 ENO1
VDAC1 YBX1
VDAC1 RACK1
VDAC1 RPSA
VDAC1 RPS7
VDAC1 RPS13
VDAC1 HSP90AB1
VDAC1 HNRNPA1
VDAC1 PHB
VDAC1 RPS4X
VDAC1 SSRP1
VDAC1 EIF3C
VDAC1 EIF3E
VDAC1 EIF3D
VDAC1 EIF3I
VDAC1 EIF3M
VDAC1 ATP5F1C
VDAC1 VAPA
VDAC1 ATP1A1
VDAC1 ATP5F1A
VDAC1 RPL7A
VDAC1 RPS8
VDAC1 RPS3A
VDAC1 EEF1B2
VDAC1 RPL18
VDAC1 RPLP0
VDAC1 MYL6
VDAC1 RPL7
VDAC1 CBR1
VDAC1 RPL22
VDAC1 RAN
VDAC1 RPS10
VDAC1 EIF6
VDAC1 RPLP1
VDAC1 RPS19
VDAC1 GABARAPL2
VDAC1 RPS24
VDAC1 HADHA
VDAC1 ATP5F1B
VDAC1 SLC25A5
VDAC1 RAB2A
VDAC1 UQCRC2
VDAC1 VDAC2
VDAC1 VDAC3
VDAC1 ATP5PO
VDAC1 DDOST
VDAC1 NDUFA8
VDAC1 ATP1B1
VDAC1 ATP5PB
VDAC1 COX4I1
VDAC1 CYC1
VDAC1 IMMT
VDAC1 DYNLT1
VDAC1 SLC25A4
VDAC1 NDUFA5
VDAC1 PGRMC1
VDAC1 SLC25A3
VDAC1 PRDX3
VDAC1 SSR4
VDAC1 NDUFS3
VDAC1 PDHA1
VDAC1 EIF4A2
VDAC1 RPS12
VDAC1 TUBA4A
VDAC1 RPS18
VDAC1 TNPO1
VDAC1 GSTK1
VDAC1 TOMM20
VDAC1 CYCS
VDAC1 VDAC1
VDAC1 TOMM70
VDAC1 NUDC
VDAC1 DYNLT3
VDAC1 TOMM22
VDAC1 PPIF
M1AP POLR3GL
M1AP M1AP
M1AP ZNF740
PSME1 PSMA3
PSME1 ITGB3BP
PSME1 PSMA7
PSME1 EMD
PSME1 PSMD2
PSME1 PSMA6
PSME1 CDC37
PSME1 PSME2
PSME1 PSMD14
PSME1 PSMC5
PSME1 PSMD4
PSME1 PSMC3
PSME1 PSMC4
PSME1 EIF6
PSME1 AIMP2
PSME1 PSMD13
PSME1 PSMD7
PSME1 PSMA2
PSME1 PSMD12
PSME1 PSMD8
PSME1 PSMB1
PSME1 PSMB7
PSME1 PSMA4
PSME1 PSMB2
PSME1 PSMB3
PSME1 PSMB4
PSME1 PSMB5
PSME1 PSMB6
PSME1 PFDN1
PSME1 PSME1
PSME1 ATP1B1
PSME1 TUBB4B
RPL11 RPLP1
RPL11 TP53
RPL11 RPL5
RPL11 RPS26
RPL11 RPL31
RPL11 RPS14
RPL11 RPL9
RPL11 RPL23
RPL11 RPL23A
RPL11 RPL3
RPL11 RPS3A
RPL11 RPL18A
RPL11 FBL
RPL11 RPL36
RPL11 RPL10A
RPL11 RPL12
RPL11 RPL13
RPL11 RPL14
RPL11 RPL15
RPL11 RPL18
RPL11 RPL19
RPL11 RPL21
RPL11 RPL24
RPL11 RPL27A
RPL11 RPL37A
RPL11 RPL6
RPL11 RPL7A
RPL11 RPL7
RPL11 RPS11
RPL11 RPS12
RPL11 RPS13
RPL11 RPS15A
RPL11 RPS16
RPL11 RPS20
RPL11 RPS23
RPL11 RPS25
RPL11 RPS2
RPL11 RPS3
RPL11 RPS4X
RPL11 RPS6
RPL11 RPS8
RPL11 RPSA
RPL11 RPL30
RPL11 RPS5
RPL11 RPS19
RPL11 RPL4
RPL11 RPS7
RPL11 RPL22
RPL11 RPLP0
RPL11 RPS9
RPL11 RPL10
RPL11 RPL35
RPL11 RPS10
RPL11 RPL38
RPL11 RPL17
RPL11 SNU13
RPL11 LARP7
RPL11 GAPDH
RPL11 ATP5F1C
RPL11 UPF1
RPL11 IMMT
RPL11 RPL36A
RPL11 RACK1
RPL11 RPS24
RPL11 EEF2
RPL11 MRPS16
RPL11 TOP1
RPL11 DHX30
RPL11 PHF5A
RPL11 RPL29
RPL11 HNRNPA1
RPL11 MRPS15
RPL11 EEF1B2
RPL11 PHB
RPL11 EEF1A1
RPL11 RPL13A
RPL11 DDX20
RPL11 C18orf32
RPL11 POLR1C
RPL11 SLC25A3
RPL11 VDAC3
RPL11 EIF4A2
RPL11 SF3B6
RPL11 EEF1A2
RPL11 RPL26
RPL11 RPL35A
RPL11 HSP90AB1
RPL11 PCBP2
RPL11 LUC7L2
RPL11 SRP14
RPL11 RPL32
RPL11 RPS28
RPL11 TNPO1
RPL11 RAN
RPL11 MRPS22
RPL11 RPLP2
RPL11 BRIX1
RPL11 RPS17
RPL11 EBNA1BP2
RPL11 HNRNPH2
RPL11 RPL28
RPL11 CUL2
RPL11 RPS29
RPL11 MYL6
RPL11 EIF3I
RPL11 PSMD2
RPL11 MRPS23
RPL11 SLC25A5
RPL11 EIF3C
RPL11 EIF3M
RPL11 YBX1
RPL11 EIF2A
RPL11 SRPK1
RPL11 VDAC2
RPL11 TUFM
RPL11 PIAS1
RPL11 RPL34
RPL11 MCF2L
RPL11 RPL39
RPL11 NEDD8
RPL11 ENO1
RPL11 UBA52
RPL11 ILF2
RPL11 RPL41
RPL11 RPS27L
RPL11 RPL11
RPL11 RPL27
RPL11 HSPD1
RPL11 STOML2
RPL11 EIF3E
RPL11 WDR18
RPL11 GNL3
RPL11 DDOST
RPL11 LRRC59
RPL11 RPS18
RPL11 FXR1
RPL11 EIF3D
RPL11 KRR1
RPL11 PWP1
RPL11 ATP5F1A
RPL11 PA2G4
RPL11 RPS4Y1
RPL11 NPM1
RPL11 GTPBP4
RPL11 SSRP1
RPL11 RPL37
RPL11 EIF3K
RPL11 RPS27
RPL11 DIMT1
RPL11 CUL5
RPL11 RPS15
RPL11 PCNA
RPL11 UBE2M
RPL11 PHB2
RPL11 NAE1
RPL11 FAU
RPL11 RPS27A
RPL11 RPS21
RPL11 SUMO3
RPL11 MRPS2
RPL11 DVL3
RPL11 IP6K1
RHBDD2 FKBP8
RHBDD2 NFU1
RHBDD2 MLX
RHBDD2 GCSH
RHBDD2 TUFM
RHBDD2 COMT
RHBDD2 MTERF3
RHBDD2 CIAO2A
RHBDD2 ACSF2
RHBDD2 SLC25A3
RHBDD2 TIMM17B
RHBDD2 MRPL35
RHBDD2 MICOS13
RHBDD2 SDHD
RHBDD2 MPC2
RHBDD2 SCGB3A1
RHBDD2 LETMD1
RHBDD2 ROMO1
RHBDD2 IFI27L1
LYSMD2 DUSP4
SRP14 NPM1
SRP14 EEF1A1
SRP14 GNL3
SRP14 RPS9
SRP14 ARF6
SRP14 LUC7L2
SRP14 ILF2
SRP14 FBL
SRP14 PRKAB1
SRP14 RPL31
SRP14 YBX1
SRP14 EBNA1BP2
SRP14 RPL21
SRP14 RPL28
SRP14 RPL3
SRP14 RPS7
SRP14 RPS13
SRP14 TOP1
SRP14 RPLP2
SRP14 HNRNPA1
SRP14 RPS11
SRP14 RPL5
SRP14 RPL30
SRP14 RPL24
SRP14 RPL7A
SRP14 EEF2
SRP14 RPS8
SRP14 RPL10A
SRP14 RPL4
SRP14 RPL12
SRP14 RPL18A
SRP14 RPS14
SRP14 RPS3A
SRP14 RPS2
SRP14 RPS23
SRP14 RPL18
SRP14 RPLP0
SRP14 RPL7
SRP14 RPL9
SRP14 RPL22
SRP14 RPL13
SRP14 RPS6
SRP14 RPL6
SRP14 RPLP1
SRP14 RPS16
SRP14 RPS15A
SRP14 RPL23
SRP14 RPL19
SRP14 RPL14
SRP14 RPL37A
SRP14 RPL26
SRP14 RPL27
SRP14 RPS17
SRP14 RPS24
SRP14 SRPK1
SRP14 RPL35A
SRP14 SNU13
SRP14 SLC25A5
SRP14 RPL15
SRP14 RPL23A
SRP14 RPL27A
SRP14 RPS12
SRP14 RPL36
SRP14 RPL10
SRP14 RPL32
SRP14 BRIX1
SRP14 RPL29
SRP14 TUFM
SRP14 PWP1
SRP14 RPL35
SRP14 RPL13A
SRP14 RPS29
SRP14 EAF1
SRP14 RPS18
SRP14 EIF1B
SRP14 RPS15
SRP14 SRP9
SRP14 RPL36A
SRP14 C18orf32
SRP14 RPL39
PSMB6 PSMA3
PSMB6 FBL
PSMB6 PSMA7
PSMB6 PSMD2
PSMB6 PSMA6
PSMB6 UCHL5
PSMB6 PSME2
PSMB6 PSMD14
PSMB6 PSMC5
PSMB6 PSMD4
PSMB6 PSMC3
PSMB6 PSMC4
PSMB6 PSMD9
PSMB6 PSMD13
PSMB6 PSMD7
PSMB6 ADRM1
PSMB6 PSMA2
PSMB6 PSMD12
PSMB6 PSMD8
PSMB6 PSMB1
PSMB6 PSMB7
PSMB6 PSMA4
PSMB6 PSMB2
PSMB6 PSMB3
PSMB6 PSMB4
PSMB6 PSMB5
PSMB6 POMP
PSMB6 PSMB10
PSMB6 TUBA4A
MYL12B CSNK2A1
MYL12B DAPK3
MYL12B ILK
VTA1 GSK3A
VTA1 CCNC
VTA1 CHMP5
VTA1 TEAD4
VTA1 CHMP2A
VTA1 RABAC1
VTA1 KLHL12
VTA1 BEX3
ABT1 EMD
ABT1 CEP70
ABT1 DVL3
ABT1 SYNE4
ATP5MF PRKAB1
ATP5MF CAPNS1
ATP5MF ATP5F1C
ATP5MF ATP5F1A
ATP5MF NECTIN2
ATP5MF RPLP1
ATP5MF FBP1
ATP5MF PRPF4
ATP5MF ATP5F1B
ATP5MF ATP5IF1
ATP5MF ATP5PB
ATP5MF ATP5PO
ATP5MF FTSJ1
ATP5MF ATP5F1E
ATP5MF ATP5MC1
ATP5MF ATP5PF
ATP5MF ATP5PD
ATP5MF ATP5MG
ATP5MF CCDC137
ATP5MF ATP5ME
ATP5MF ZFPL1
ATP5MF ATP5F1D
NT5C3A IMPDH2
NT5C3A DESI1
NT5C3A ITPA
NT5C3A DUT
NT5C3A GUK1
NT5C3A CANT1
NT5C3A TK2
NT5C3A AK1
RTF1 CDC73
RTF1 SSRP1
RTF1 UBE2A
RTF1 PAF1
RTF1 PEX2
PRPF31 CDC5L
PRPF31 PRPF19
PRPF31 SNRNP70
PRPF31 GOLGA2
PRPF31 LDOC1
PRPF31 SNW1
PRPF31 TRIM27
PRPF31 FXR1
PRPF31 SYF2
