FGFR1 MMP2
FGFR1 FGF9
FGFR1 TNS2
FGFR1 FGF18
FGFR1 IL17RD
CCDC89 TSFM
TPPP SNCA
NCAM2 PRNP
ADAMTS10 CDKN1A
PDIA3 CLU
PDIA3 LAMC1
PDIA3 VCL
PDIA3 EFEMP1
PDIA3 PDIA3
PDIA3 COL6A3
PDIA3 HLA-G
PDIA3 GYPC
PDIA3 ITGA2
PDIA3 ITGB1
PDIA3 ITGB5
PDIA3 LAMB1
PDIA3 ADAM17
FHL5 ZBTB16
FHL5 SRF
FHL5 GSTP1
FHL5 SPRY1
FHL5 IL16
FHL5 FHL5
FHL5 IP6K3
FHL5 MYOZ3
FHL5 RAB3IL1
EFEMP1 ATN1
EFEMP1 MEOX2
EFEMP1 TIMP3
EFEMP1 IGFBP6
EFEMP1 MSRB3
EFEMP1 SLPI
IGF1 IGF1R
IGF1 IGFBP7
IGF1 IGFBP4
IGF1 IGFBP5
IGF1 IGFBP6
IGF1 TCEANC
USP22 MYC
USP22 RCAN1
USP22 KIF7
USP22 HEXA
DBT PPM1K
DBT ADI1
DBT BCAT1
MAP3K8 NFKBIA
MAP3K8 ABL1
MAP3K8 SPTBN1
MAP3K8 MAP3K8
MAP3K8 LGALS3BP
MAP3K8 GLG1
NPIPA1 FOS
EPAS1 JUN
EPAS1 ARNT
EPAS1 NDN
EPAS1 MITF
EPAS1 EPAS1
EPAS1 BBS4
TDO2 TDO2
TDO2 NR1D1
MPDZ NR4A1
MPDZ HTR2A
MPDZ LATS2
MPDZ YAP1
MPDZ AMOTL2
MPDZ CAMK2A
MPDZ ABCA1
MPDZ MPDZ
MPDZ AMOTL1
CRMP1 TSC22D1
CRMP1 VIM
CRMP1 MAP3K20
CRMP1 HNRNPH1
CRMP1 FTH1
CRMP1 DPYSL2
CRMP1 CRMP1
CRMP1 DPYSL3
CRMP1 ALDH2
CRMP1 SAT1
CRMP1 CCL18
CRMP1 PLA2G2A
CRMP1 IL33
DISP1 ADAMTSL4
HTRA1 COL1A1
HTRA1 TENT5A
HTRA1 BMP4
HTRA1 COL3A1
EXTL1 TMEM237
GAS6 AXL
APOL2 AR
APOL2 AIG1
APOL2 EMP1
APOL2 MGST3
TYRP1 MITF
ACVRL1 TGFB3
ACVRL1 ENG
ACVRL1 ACVR2A
PTX3 FGF2
PTX3 C1QA
PTX3 C3
PTX3 C1QB
PTX3 C1S
PDE7B GUCY1B1
PDE7B ADCY3
PDE7B NPR2
PDE7B GUCY1A1
PDE7B ADCY2
PDE7B ADCY9
FAM156A SAT1
TMEM262 EMP1
TMEM262 EDA2R
DDX47 SYNE1
DDX47 PRNP
TBX19 POGZ
TBX19 NEDD9
DES FOS
DES VIM
DES ROCK2
DES PKD1
DES PLEKHA5
DES DES
EGR1 SRF
EGR1 JUN
EGR1 EGFR
EGR1 CEBPB
EGR1 TBX2
EGR1 SNAI1
EGR1 MAOB
EGR1 NAB2
EGR1 F3
KLF10 TNS1
MEST FST
MEST FEZ1
NFIB NFIA
NFIB NFIC
NFIB NFIX
PON2 EGFR
PON2 HTR2A
LITAF POGZ
LITAF NCALD
LITAF CREB5
STAT2 EGFR
STAT2 ZFP36
TPM4 TPM1
TPM4 TRIP6
CORIN EMP1
CORIN GPX8
GPRASP1 AGTR1
GPRASP1 F2R
ZFYVE21 PDE4DIP
ZFYVE21 MID2
LCAT A2M
LCAT PLA2G2A
LCAT PLA2G5
HES1 NR4A1
HES1 TLE2
HES1 FHL1
HES1 ID3
HES1 ID4
HES1 PRKCA
HES1 ID2
HES1 PTGDS
TEAD3 YAP1
TEAD3 VGLL3
GULP1 ITGB1
GULP1 LRP1
NKD2 UBC
REM1 REM1
REM1 CACNB2
UBE2E2 ARRDC3
UBE2E2 MID2
UBE2E2 DZIP3
UBE2E2 MID1
PPP1R3C PPP1CB
PPP1R3C LXN
CYBRD1 SERP2
TULP2 MEOX2
SORT1 NGF
SORT1 SORT1
SORT1 CNIH3
FXYD1 PRKCA
FXYD1 DMPK
FXYD1 PLPP1
DZIP1 TNS2
COL5A3 COL1A2
COL5A3 COL5A1
MME LMNA
MME PIK3R1
MME ANXA2
MME ACTB
MME VIM
MME HNRNPH1
MME HSPB1
MME ANXA1
MME CD4
MME NUCKS1
MME ADM
MME ANXA6
MME FOLH1
MME METTL7A
CAV2 EGFR
CAV2 CAV1
CAV2 DRD1
LY6E TMEM140
CFL2 ACTB
CFL2 ACTG1
CFL2 CAMK2A
CFL2 DSTN
CFL2 CFL2
SLPI NBL1
SLPI SMIM14
PTPRS EGFR
PTPRS FEZ1
PTPRS PTPRM
PTPRS PTN
PTPRS PTPRD
PTPRS CEP126
PTPRS PTPRS
HHIPL1 EFEMP2
SCN2B SCN1B
VAMP2 SLC6A4
UCHL1 EGFR
UCHL1 UBC
UCHL1 ADRA2A
UCHL1 MCC
LOX EFEMP2
LOX ELN
LOX DPT
LOX LOX
F2RL2 ABL1
F2RL2 JAM3
F2RL2 JAM2
LSAMP PRNP
PTPN14 MYC
PTPN14 YAP1
PTPN14 STXBP4
PTPN14 TRIP6
RNF180 UBC
EMP1 STOM
EMP1 SMIM3
EMP1 EDA
EMP1 PMP22
EMP1 TMEM9
EMP1 MAL
LHCGR NR2F1
LHCGR LHCGR
ZFYVE9 FOS
ZFYVE9 PPP1CB
ZFYVE9 TENT5A
ZFYVE9 SVEP1
ZFYVE9 BMP4
ZFYVE9 SPART
ZFYVE9 EEA1
COX4I2 MT-CYB
COX4I2 SOD3
COX4I2 SOD2
COX4I2 COX4I2
RORA CEBPB
RORA RARB
RORA RORA
RORA NR1D1
IGFBP5 FN1
IGFBP5 IGF2
IGFBP5 TMEM237
IGFBP5 GJA5
IGFBP5 SERPINE1
IGFBP5 THBS1
IGFBP5 PAPPA2
IGFBP5 AMIGO1
IGFBP5 GPX8
IGFBP5 TMEM45A
IGFBP5 LAYN
KLF11 SRF
KLF11 MAOB
OGN ABL1
NRXN2 NLGN1
NRXN2 NLGN2
CBR1 MCC
CNBP IGF2BP2
CNBP MCC
PRPH2 ROM1
THNSL2 ZBTB16
WSB1 DIO2
MMP14 CAV1
MMP14 LRP1
MMP14 ACTB
MMP14 ITGAV
MMP14 STOM
MMP14 TIMP3
MMP14 MMP2
MMP14 TIMP2
MMP14 SPOCK1
MMP14 ACAN
MMP14 SPOCK3
MMP14 ADI1
TMEM121 SLC10A1
OLFM2 SRSF5
OLFM2 ROBO2
OLFM2 OLFM2
GIGYF1 IGF1R
GIGYF1 ATN1
GIGYF1 CNOT9
GIGYF1 SPAG8
GIGYF1 ANKRD10
GIGYF1 MNS1
ENG TGFB3
ENG ACVR2A
ENG ENG
ENG INHBA
ENG TGFBR3
ZFHX3 JUN
ZFHX3 TACC1
FBN1 SPRY2
FBN1 DCN
FBN1 HSPG2
FBN1 FBLN2
FBN1 RHOB
FBN1 MYOC
FBN1 VCAN
FBN1 LTBP1
FBN1 ELN
FBN1 MFAP5
FBN1 MFAP2
FBN1 FBN1
C19orf44 NCALD
TPM2 JUN
TPM2 ACTB
TPM2 SKIL
TPM2 RRAD
TPM2 TPM1
TPM2 TPM2
TPM2 MCC
GSTM5 AMOTL2
GSTM5 GSTM3
GSTM5 GSTM5
GSTM5 GSTM2
SPRY4 EFEMP2
SPRY4 SPRY4
SPRY4 COL8A1
SPRY4 CREB5
ST3GAL4 B4GALT1
ST3GAL4 B4GAT1
ID4 PIK3R1
ID4 TCF4
ID4 ID3
FTO SHC3
FTO EFEMP2
FTO IL16
FTO PRDM6
FTO ZNF77
SGCB SGCD
SGCB SGCG
SGCB DTNA
SGCB SMIM3
SGCB MAL
SGCB SGCA
SGCB ADAM33
SGCB SGCE
SGCB SSPN
SPRY2 ZBTB16
SPRY2 PRKD1
SPRY2 SPRY1
SPRY2 ADAMTSL4
SPRY2 PTGER3
SPRY2 MEOX2
SPRY2 CREB5
SPRY2 MDFI
SPRY2 MID2
SPRY2 SPRY2
SPRY2 ZNF266
NHSL2 CTTN
NHSL2 SORBS3
RXRG SRF
RXRG NR4A1
RXRG THRB
RXRG THRA
RXRG RARB
ACTB MYC
ACTB LMNA
ACTB AR
ACTB CDKN1A
ACTB UBC
ACTB CAV1
ACTB GSN
ACTB ANXA2
ACTB DNM1
ACTB ACTB
ACTB DSTN
ACTB ACTG1
ACTB CCN2
ACTB ICAM1
ACTB FAM107A
ACTB CD4
ACTB VIM
ACTB ANXA1
ACTB MAP1B
ACTB ROCK2
ACTB MYH10
ACTB SMAD9
ACTB TGM2
ACTB HNRNPH1
ACTB PTN
ACTB SVIL
ACTB CLIC4
ACTB NCALD
ACTB MORF4L2
ACTB CNN2
ACTB LMOD1
ACTB BBS4
ACTB WASF3
ACTB LGALS13
ACTB MPP3
ACTB DTNA
ACTB ANXA6
ACTB TPM1
ACTB NEBL
ACTB MYOC
ACTB WASF1
ACTB TANC1
FBLIM1 FERMT2
HSF4 DUSP26
HSF4 SESTD1
HSF4 ZBED8
HSF4 HSF4
HIF3A ARNT
EMILIN1 ITGB1
EMILIN1 EMILIN1
EMILIN1 BEX3
EMILIN1 PLAC9
CD82 JUN
CD82 EGFR
CD82 ITGB1
CD82 LRP1
CD82 CD81
CD82 CD4
CD82 SMIM3
CD82 CD9
CD82 CD63
CD82 CD151
ZBTB3 SKIL
ZBTB3 THRA
TACC1 THRA
TACC1 TACC1
SVEP1 SKIL
SVEP1 SMAD9
ZNF266 MDFI
ZNF266 MID2
PJA1 MAGED1
PJA1 SPTBN1
PJA1 NDN
PJA1 PJA1
LOXL1 FBLN5
LOXL1 ELN
WDR19 TULP3
WDR19 IFT122
MAF JUN
MAF SOX9
MAF MAF
MAF FOS
MAF AHR
IFNGR1 IFNGR1
IFNGR1 TMEM237
IFNGR1 TMEM100
PRELP FN1
PRELP COL1A1
PRELP HSPG2
PRELP FBLN2
PRELP NID1
PRELP NID2
ZNF503 ATN1
COL8A1 VCL
COL8A1 FBLN2
COL8A1 EFEMP2
COL8A1 RBPMS
COL8A1 ADAMTSL4
COL8A1 TRIP6
COL8A1 BPIFA1
COL8A1 CREB5
COL8A1 ITGA1
COL8A1 ITGA2
COL8A1 COL8A2
PDGFRB EGFR
PDGFRB CAV1
PDGFRB PIK3R1
PDGFRB PDGFRA
PDGFRB PDGFRB
PDGFRB ADAMTSL4
PDGFRB SLC9A3R2
PDGFRB TRIP6
PDGFRB PTPRG
PDGFRB ABL1
SLC10A1 CYB5R3
SLC10A1 IFITM3
SLC10A1 MAL
SLC10A1 C2
SLC10A1 FXYD6
SLC10A1 LSS
SLC10A1 IFITM2
SLC10A1 UNC50
SLC10A1 FAXDC2
SLC10A1 TMEM119
THSD7A SKIL
HSPB6 HSPB8
TNFAIP6 CEBPB
TNFAIP6 THBS1
TNFAIP6 ACAN
ABCA1 DLG2
ABCA1 AOX1
ABCA1 PDLIM3
ABCA1 PLTP
CERCAM MAGED1
CERCAM POGZ
CERCAM FNDC11
CERCAM CREB5
CERCAM FKBP7
CERCAM ZDHHC15
CERCAM CERCAM
CERCAM VGLL3
DCLK1 MYC
DCLK1 DCLK1
GPC3 IGF2
GPC3 FGF2
ITGAV EGFR
ITGAV ITGB1
ITGAV GSN
ITGAV PDGFRA
ITGAV FN1
ITGAV ITGB5
ITGAV MMP2
ITGAV ADAM9
ITGAV F2R
ITGAV THBS1
ITGAV CCN1
ITGAV PLPP3
ITGAV THY1
ITGAV EDIL3
ITGAV TGFB3
ITGAV PTPRZ1
ITGAV NID1
NFIC FN1
NFIC ZKSCAN7
NFIC CYB5A
NFIC CYP3A7
CNRIP1 PRTFDC1
GSTA4 PRKCA
GSTA4 GSTA4
LGALS3 EGFR
LGALS3 MAP1LC3A
LGALS3 ABL1
LGALS3 ELN
LGALS3 LGALS3BP
LGALS3 MYOC
LGALS3 MMP2
LGALS3 LGALS3
LGALS3 MYLK
LGALS3 LGALS1
TRPC6 ITPR1
TRPC6 TRPC4
TRPC6 PRKG1
TRPC6 TRPC1
TRPC6 TRPC6
TRPC6 WDR83OS
NRP2 NRP1
NRP2 PGF
NRP2 SEMA3B
